claim_id,vehicle_id,driver_id,trip_id,accident_timestamp,accident_location,weather_condition,road_condition,collision_type,damaged_component,severity,estimated_repair_cost,claim_amount,fraud_flag,claim_status
C00036,V0249,D0285,T08830,2025-06-18T02:27:00,Kozhikode,Fog,Wet,Rear-end,Rear Bumper,Minor,184639,148644,No,Under Review
C00037,V0429,D0523,T00461,2025-08-30T09:39:00,Alappuzha,Cloudy,Slippery,Rear-end,Headlight,Minor,159531,133218,No,Rejected
C00038,V0387,D0269,T03808,2025-06-12T22:52:00,Alappuzha,Rain,Dry,Single Vehicle,Engine Bay,Moderate,239464,218601,No,Approved
C00039,V0090,D0412,T06083,2025-03-25T06:08:00,Kochi,Cloudy,Dry,Side,Windshield,Moderate,52981,50287,No,Under Review
C00040,V0058,D0272,T04358,2025-05-15T09:07:00,Thrissur,Heavy Rain,Slippery,Rear-end,Windshield,Minor,143362,123798,Yes,Under Review
C00041,V0342,D0019,T04292,2025-05-31T19:52:00,Kollam,Cloudy,Wet,Side,Rear Bumper,Major,121576,104693,No,Approved
C00042,V0310,D0691,T06018,2025-08-30T05:27:00,Kochi,Heavy Rain,Wet,Head-on,Front Bumper,Minor,196097,195455,No,Under Review
C00043,V0098,D0140,T08957,2025-09-01T09:24:00,Alappuzha,Sunny,Dry,Rear-end,Rear Bumper,Minor,201967,187397,No,Under Review
C00044,V0209,D0060,T02644,2025-07-31T14:42:00,Kozhikode,Sunny,Slippery,Rear-end,Door,Minor,189988,165529,No,Rejected
C00045,V0432,D0093,T08871,2025-06-01T01:35:00,Thrissur,Rain,Dry,Head-on,Headlight,Minor,177568,169250,Yes,Approved
C00046,V0110,D0510,T00349,2025-12-04T15:18:00,Alappuzha,Rain,Slippery,Head-on,Headlight,Minor,31675,25665,No,Rejected
C00047,V0270,D0302,T02160,2025-03-03T19:13:00,Kollam,Cloudy,Dry,Rear-end,Windshield,Major,203321,179260,No,Approved
C00048,V0103,D0009,T05284,2025-03-14T02:25:00,Kozhikode,Heavy Rain,Wet,Single Vehicle,Door,Major,100446,88031,No,Rejected
C00049,V0244,D0210,T08262,2025-08-31T09:14:00,Kozhikode,Cloudy,Dry,Single Vehicle,Door,Minor,15811,15562,Yes,Approved
C00050,V0217,D0524,T05949,2025-08-31T22:58:00,Palakkad,Fog,Dry,Head-on,Rear Bumper,Moderate,175385,166870,Yes,Under Review
C00051,V0040,D0409,T01789,2025-10-21T19:48:00,Kochi,Fog,Wet,Side,Front Bumper,Minor,21385,18231,No,Rejected
C00052,V0132,D0210,T00759,2025-05-04T10:31:00,Thrissur,Fog,Dry,Single Vehicle,Headlight,Major,141688,126014,Yes,Rejected
C00053,V0290,D0588,T00235,2025-11-26T19:44:00,Kochi,Heavy Rain,Slippery,Rear-end,Headlight,Major,213798,210778,Yes,Under Review
C00054,V0342,D0406,T02507,2025-11-16T11:07:00,Thrissur,Fog,Dry,Side,Door,Minor,128237,112628,Yes,Rejected
C00055,V0064,D0225,T02973,2025-07-23T22:23:00,Kochi,Sunny,Slippery,Rear-end,Headlight,Moderate,122337,113668,No,Under Review
C00056,V0413,D0045,T02447,2025-11-11T00:46:00,Kochi,Sunny,Wet,Head-on,Rear Bumper,Moderate,12212,10325,No,Under Review
C00057,V0459,D0289,T05349,2025-07-15T07:26:00,Kozhikode,Fog,Dry,Head-on,Front Bumper,Minor,191087,164807,No,Under Review
C00058,V0276,D0657,T08527,2025-10-29T01:50:00,Kochi,Rain,Dry,Head-on,Engine Bay,Moderate,106053,94955,Yes,Under Review
C00059,V0453,D0238,T07153,2025-02-09T00:38:00,Kollam,Rain,Slippery,Single Vehicle,Windshield,Moderate,52121,51454,No,Rejected
C00060,V0033,D0290,T08322,2025-03-16T21:01:00,Alappuzha,Heavy Rain,Slippery,Side,Door,Major,165337,134611,No,Approved
C00061,V0422,D0692,T03072,2025-03-29T08:10:00,Thrissur,Sunny,Dry,Rear-end,Door,Moderate,248913,221233,No,Under Review
C00062,V0368,D0270,T09888,2025-10-15T05:43:00,Kochi,Heavy Rain,Wet,Side,Rear Bumper,Moderate,62718,58310,No,Under Review
C00063,V0246,D0569,T00870,2025-11-03T01:30:00,Kozhikode,Rain,Dry,Single Vehicle,Door,Moderate,33552,30163,No,Approved
C00064,V0260,D0047,T06055,2025-09-07T15:12:00,Palakkad,Heavy Rain,Wet,Rear-end,Windshield,Major,204070,180695,No,Approved
C00065,V0088,D0114,T01137,2025-06-08T14:00:00,Kozhikode,Rain,Wet,Head-on,Engine Bay,Major,109357,98192,No,Under Review
C00066,V0472,D0074,T07954,2025-02-18T02:42:00,Palakkad,Cloudy,Wet,Single Vehicle,Headlight,Moderate,78814,65775,Yes,Rejected
C00067,V0429,D0645,T07528,2025-12-14T13:20:00,Alappuzha,Cloudy,Dry,Side,Windshield,Minor,65946,57243,No,Approved
C00068,V0172,D0683,T08682,2025-04-04T04:44:00,Palakkad,Fog,Slippery,Side,Headlight,Moderate,14473,12127,No,Approved
C00069,V0175,D0063,T05630,2025-05-18T20:01:00,Kozhikode,Sunny,Slippery,Single Vehicle,Door,Minor,39919,35326,Yes,Rejected
C00070,V0040,D0097,T04259,2025-08-14T22:51:00,Palakkad,Heavy Rain,Wet,Side,Door,Major,234431,211762,No,Rejected
C00071,V0368,D0548,T03725,2025-03-26T03:03:00,Thrissur,Heavy Rain,Wet,Side,Engine Bay,Minor,41946,40229,Yes,Rejected
C00072,V0298,D0661,T09793,2025-12-11T00:34:00,Kochi,Rain,Wet,Head-on,Front Bumper,Moderate,187365,167691,Yes,Under Review
C00073,V0094,D0169,T09658,2025-11-21T17:26:00,Alappuzha,Fog,Wet,Head-on,Rear Bumper,Minor,185268,175375,Yes,Approved
C00074,V0277,D0157,T07358,2025-05-01T23:02:00,Kozhikode,Cloudy,Wet,Side,Rear Bumper,Moderate,93038,89001,No,Under Review
C00075,V0129,D0263,T02631,2025-10-15T21:40:00,Kollam,Fog,Slippery,Single Vehicle,Engine Bay,Major,82381,72490,No,Rejected
C00076,V0022,D0253,T08115,2025-09-27T23:09:00,Thrissur,Cloudy,Wet,Single Vehicle,Rear Bumper,Moderate,233847,212715,No,Approved
C00077,V0127,D0324,T04161,2025-12-05T02:55:00,Kochi,Heavy Rain,Wet,Rear-end,Front Bumper,Moderate,116461,108528,No,Under Review
C00078,V0466,D0008,T09379,2025-01-24T06:58:00,Thrissur,Rain,Slippery,Head-on,Front Bumper,Major,217382,212630,Yes,Rejected
C00079,V0138,D0013,T09428,2025-12-09T12:35:00,Kozhikode,Cloudy,Dry,Single Vehicle,Headlight,Major,174045,150130,No,Approved
C00080,V0421,D0527,T01069,2025-01-28T14:09:00,Alappuzha,Sunny,Wet,Single Vehicle,Front Bumper,Major,27942,27205,Yes,Approved
C00081,V0215,D0337,T09097,2025-02-07T15:56:00,Thrissur,Sunny,Dry,Single Vehicle,Rear Bumper,Minor,50254,44468,No,Rejected
C00082,V0290,D0573,T05752,2025-09-09T15:20:00,Alappuzha,Rain,Dry,Side,Engine Bay,Major,168461,150019,No,Approved
C00083,V0250,D0263,T04801,2025-05-11T03:15:00,Kollam,Heavy Rain,Slippery,Head-on,Rear Bumper,Major,208897,172525,Yes,Approved
C00084,V0160,D0419,T06148,2025-10-16T07:35:00,Palakkad,Rain,Wet,Head-on,Door,Moderate,199099,172930,Yes,Approved
C00085,V0221,D0250,T03424,2025-02-27T15:52:00,Alappuzha,Cloudy,Slippery,Rear-end,Rear Bumper,Moderate,158181,149598,No,Under Review
C00086,V0428,D0249,T07631,2025-06-07T03:14:00,Palakkad,Rain,Wet,Single Vehicle,Rear Bumper,Minor,54166,44763,Yes,Rejected
C00087,V0375,D0310,T02786,2025-12-06T23:02:00,Kozhikode,Heavy Rain,Dry,Head-on,Headlight,Minor,104462,86919,No,Approved
C00088,V0495,D0258,T05911,2025-12-10T00:32:00,Thrissur,Cloudy,Wet,Head-on,Rear Bumper,Moderate,132072,120508,Yes,Rejected
C00089,V0413,D0590,T03466,2025-02-13T18:54:00,Kozhikode,Heavy Rain,Dry,Single Vehicle,Door,Moderate,154347,143169,No,Approved
C00090,V0027,D0343,T09306,2025-11-29T19:50:00,Thrissur,Heavy Rain,Wet,Side,Front Bumper,Minor,246757,204589,No,Under Review
C00091,V0137,D0540,T07839,2025-10-11T13:13:00,Thrissur,Rain,Slippery,Side,Front Bumper,Major,223208,214151,No,Rejected
C00092,V0318,D0488,T01887,2025-09-08T14:23:00,Palakkad,Rain,Dry,Rear-end,Rear Bumper,Minor,134559,113137,No,Approved
C00093,V0047,D0216,T08118,2025-11-09T17:24:00,Kollam,Fog,Slippery,Side,Headlight,Moderate,65929,59785,Yes,Under Review
C00094,V0005,D0684,T09635,2025-08-08T01:50:00,Kollam,Heavy Rain,Wet,Rear-end,Front Bumper,Major,205561,185126,No,Rejected
C00095,V0237,D0653,T05034,2025-06-23T10:26:00,Kollam,Sunny,Dry,Single Vehicle,Front Bumper,Moderate,19650,15940,No,Approved
C00096,V0465,D0608,T04433,2025-08-22T13:03:00,Palakkad,Heavy Rain,Slippery,Head-on,Engine Bay,Major,20941,18588,Yes,Approved
C00097,V0184,D0015,T00216,2025-11-02T00:05:00,Kochi,Cloudy,Dry,Rear-end,Rear Bumper,Major,42057,39682,No,Approved
C00098,V0401,D0590,T05982,2025-10-27T15:58:00,Thrissur,Heavy Rain,Slippery,Rear-end,Headlight,Moderate,224587,206868,No,Under Review
C00099,V0386,D0163,T03381,2025-09-13T03:29:00,Alappuzha,Cloudy,Dry,Single Vehicle,Engine Bay,Minor,233909,222524,Yes,Approved
C00100,V0287,D0659,T03873,2025-05-02T14:46:00,Kozhikode,Fog,Dry,Rear-end,Headlight,Major,102159,92317,No,Rejected
C00101,V0170,D0438,T09038,2025-04-06T04:05:00,Thrissur,Cloudy,Slippery,Head-on,Rear Bumper,Minor,209774,193260,No,Approved
C00102,V0407,D0215,T04146,2025-02-17T17:35:00,Thrissur,Sunny,Dry,Single Vehicle,Engine Bay,Major,140557,115558,No,Approved
C00103,V0105,D0488,T05242,2025-02-25T00:38:00,Kochi,Heavy Rain,Slippery,Rear-end,Engine Bay,Minor,73103,64245,No,Approved
C00104,V0441,D0414,T09583,2025-11-13T20:01:00,Kollam,Heavy Rain,Wet,Head-on,Headlight,Moderate,38515,31525,No,Under Review
C00105,V0346,D0518,T02279,2025-06-01T23:23:00,Alappuzha,Sunny,Wet,Side,Door,Moderate,235859,195810,No,Approved
C00106,V0239,D0659,T07645,2025-04-15T01:57:00,Kollam,Sunny,Wet,Side,Front Bumper,Major,76524,64764,No,Under Review
C00107,V0317,D0554,T05237,2025-06-02T07:51:00,Thrissur,Fog,Dry,Side,Windshield,Minor,99894,97426,Yes,Under Review
C00108,V0296,D0298,T03691,2025-04-26T06:51:00,Kollam,Fog,Wet,Rear-end,Door,Minor,104616,87563,No,Approved
C00109,V0452,D0611,T04414,2025-10-19T00:27:00,Palakkad,Sunny,Wet,Single Vehicle,Headlight,Moderate,65602,57850,Yes,Rejected
C00110,V0242,D0616,T09997,2025-06-15T14:34:00,Kochi,Heavy Rain,Dry,Rear-end,Front Bumper,Minor,192933,186911,No,Rejected
C00111,V0434,D0136,T08085,2025-03-28T13:28:00,Alappuzha,Heavy Rain,Dry,Rear-end,Headlight,Moderate,15069,12227,No,Under Review
C00112,V0483,D0277,T08844,2025-12-19T14:17:00,Alappuzha,Heavy Rain,Wet,Head-on,Headlight,Moderate,213846,196030,No,Rejected
C00113,V0175,D0487,T00982,2025-01-09T05:01:00,Thrissur,Rain,Dry,Head-on,Engine Bay,Minor,204595,195877,No,Approved
C00114,V0277,D0675,T03955,2025-06-20T07:22:00,Kollam,Rain,Dry,Single Vehicle,Rear Bumper,Moderate,174760,162364,Yes,Under Review
C00115,V0490,D0441,T05322,2025-09-11T13:03:00,Kochi,Rain,Dry,Single Vehicle,Engine Bay,Minor,166676,146197,No,Rejected
C00116,V0290,D0550,T09612,2025-02-09T14:34:00,Thrissur,Cloudy,Dry,Rear-end,Headlight,Moderate,50174,46518,No,Approved
C00117,V0289,D0405,T02655,2025-03-26T08:15:00,Thrissur,Heavy Rain,Dry,Head-on,Door,Major,142855,122912,No,Approved
C00118,V0199,D0170,T04766,2025-11-03T17:20:00,Kozhikode,Fog,Slippery,Side,Door,Minor,185601,183893,Yes,Under Review
C00119,V0219,D0345,T01918,2025-12-26T01:57:00,Thrissur,Cloudy,Wet,Rear-end,Door,Moderate,125597,115174,No,Rejected
C00120,V0073,D0688,T08837,2025-09-01T01:53:00,Kochi,Sunny,Dry,Single Vehicle,Windshield,Major,195302,185605,No,Under Review
C00121,V0291,D0554,T01328,2025-04-21T03:53:00,Thrissur,Fog,Dry,Side,Door,Moderate,221576,220543,No,Approved
C00122,V0025,D0114,T08231,2025-07-06T22:56:00,Kozhikode,Fog,Slippery,Rear-end,Rear Bumper,Minor,155689,141407,No,Under Review
C00123,V0065,D0469,T07721,2025-03-10T23:52:00,Kochi,Cloudy,Dry,Single Vehicle,Front Bumper,Major,87398,84476,Yes,Under Review
C00124,V0166,D0446,T00862,2025-04-22T05:25:00,Kozhikode,Sunny,Slippery,Single Vehicle,Windshield,Moderate,88479,73570,No,Approved
C00125,V0392,D0423,T07005,2025-09-26T04:17:00,Palakkad,Cloudy,Dry,Rear-end,Rear Bumper,Major,26418,21826,No,Under Review
C00126,V0310,D0263,T07707,2025-10-01T18:06:00,Kollam,Fog,Wet,Rear-end,Windshield,Major,247653,208008,Yes,Rejected
C00127,V0107,D0595,T02920,2025-01-27T10:12:00,Thrissur,Sunny,Wet,Rear-end,Engine Bay,Major,138095,114691,No,Under Review
C00128,V0403,D0247,T08562,2025-11-15T12:17:00,Kollam,Cloudy,Dry,Side,Windshield,Moderate,172299,149728,Yes,Rejected
C00129,V0340,D0545,T01115,2025-05-30T04:00:00,Alappuzha,Rain,Slippery,Side,Front Bumper,Minor,188813,162045,No,Under Review
C00130,V0092,D0122,T05226,2025-08-27T02:05:00,Kochi,Fog,Slippery,Single Vehicle,Door,Minor,45173,44672,No,Rejected
C00131,V0298,D0077,T09687,2025-01-17T21:28:00,Palakkad,Fog,Slippery,Rear-end,Windshield,Minor,11625,9520,No,Rejected
C00132,V0292,D0076,T02999,2025-01-04T05:17:00,Alappuzha,Cloudy,Slippery,Rear-end,Windshield,Major,156297,129423,No,Rejected
C00133,V0142,D0358,T07175,2025-06-26T03:10:00,Kozhikode,Sunny,Dry,Rear-end,Front Bumper,Major,14544,12862,No,Approved
C00134,V0047,D0190,T05143,2025-12-05T11:21:00,Kozhikode,Cloudy,Slippery,Side,Rear Bumper,Major,219113,180026,No,Under Review
C00135,V0251,D0295,T07751,2025-04-15T21:10:00,Kozhikode,Rain,Dry,Rear-end,Headlight,Major,233183,207235,No,Rejected
C00136,V0036,D0634,T09291,2025-10-28T04:52:00,Kochi,Fog,Dry,Rear-end,Windshield,Moderate,202863,189968,No,Under Review
C00137,V0316,D0444,T06922,2025-05-09T07:53:00,Kollam,Rain,Dry,Single Vehicle,Engine Bay,Minor,141044,133610,No,Rejected
C00138,V0441,D0061,T09327,2025-10-28T20:40:00,Kozhikode,Cloudy,Wet,Rear-end,Windshield,Major,30203,25001,No,Under Review
C00139,V0046,D0496,T01219,2025-01-29T11:49:00,Thrissur,Rain,Wet,Head-on,Engine Bay,Minor,76780,66396,No,Approved
C00140,V0442,D0543,T08475,2025-03-27T20:17:00,Kozhikode,Fog,Wet,Rear-end,Windshield,Minor,112803,108569,Yes,Approved
C00141,V0441,D0630,T05013,2025-03-09T10:09:00,Palakkad,Fog,Slippery,Single Vehicle,Windshield,Major,49885,43286,No,Rejected
C00142,V0425,D0674,T04901,2025-03-14T07:42:00,Kollam,Rain,Slippery,Head-on,Rear Bumper,Moderate,135421,117775,No,Approved
C00143,V0450,D0348,T04489,2025-03-31T07:06:00,Palakkad,Cloudy,Slippery,Side,Front Bumper,Major,184385,176734,No,Rejected
C00144,V0471,D0586,T06329,2025-09-27T13:04:00,Alappuzha,Sunny,Wet,Single Vehicle,Door,Moderate,97356,92013,No,Rejected
C00145,V0319,D0612,T07039,2025-04-24T02:22:00,Alappuzha,Rain,Slippery,Side,Rear Bumper,Moderate,176643,146870,No,Under Review
C00146,V0120,D0076,T00030,2025-02-28T18:15:00,Kochi,Fog,Wet,Rear-end,Rear Bumper,Moderate,161100,144086,Yes,Approved
C00147,V0229,D0382,T09802,2025-06-20T06:28:00,Kozhikode,Heavy Rain,Slippery,Side,Door,Major,89685,85630,Yes,Approved
C00148,V0201,D0270,T07713,2025-03-11T01:10:00,Alappuzha,Heavy Rain,Dry,Head-on,Engine Bay,Moderate,87261,71285,No,Rejected
C00149,V0395,D0226,T04578,2025-04-27T19:15:00,Palakkad,Fog,Wet,Single Vehicle,Rear Bumper,Moderate,12709,11239,No,Approved
C00150,V0367,D0634,T02870,2025-05-19T19:01:00,Kollam,Heavy Rain,Wet,Head-on,Door,Minor,17702,14235,Yes,Rejected
C00151,V0137,D0285,T00109,2025-01-22T13:04:00,Palakkad,Heavy Rain,Wet,Rear-end,Door,Minor,188246,164532,No,Rejected
C00152,V0458,D0033,T02340,2025-06-07T09:19:00,Kochi,Cloudy,Dry,Single Vehicle,Windshield,Moderate,68425,66521,No,Rejected
C00153,V0409,D0309,T05647,2025-01-03T20:14:00,Alappuzha,Fog,Dry,Head-on,Door,Moderate,66971,59962,No,Approved
C00154,V0079,D0523,T00944,2025-08-07T06:43:00,Palakkad,Fog,Wet,Head-on,Door,Moderate,204572,195510,No,Approved
C00155,V0104,D0356,T06965,2025-11-13T08:43:00,Alappuzha,Rain,Wet,Head-on,Engine Bay,Minor,224558,201780,Yes,Under Review
C00156,V0085,D0493,T00404,2025-07-09T21:02:00,Kollam,Heavy Rain,Dry,Side,Headlight,Minor,236359,219106,No,Rejected
C00157,V0033,D0517,T09662,2025-05-04T18:38:00,Kollam,Rain,Dry,Single Vehicle,Door,Major,186306,182859,No,Approved
C00158,V0395,D0313,T07730,2025-11-21T22:40:00,Kollam,Fog,Slippery,Single Vehicle,Engine Bay,Major,70652,58774,No,Under Review
C00159,V0437,D0508,T02763,2025-08-09T16:53:00,Kollam,Rain,Dry,Rear-end,Engine Bay,Minor,241851,221049,No,Approved
C00160,V0155,D0007,T02626,2025-07-24T10:05:00,Alappuzha,Sunny,Slippery,Rear-end,Front Bumper,Minor,102518,96787,No,Approved
C00161,V0411,D0312,T06360,2025-03-16T07:24:00,Kochi,Cloudy,Dry,Head-on,Windshield,Moderate,193939,171794,No,Rejected
C00162,V0353,D0044,T02968,2025-02-10T17:19:00,Kochi,Sunny,Wet,Single Vehicle,Door,Major,228709,194340,No,Under Review
C00163,V0238,D0139,T00993,2025-12-10T13:37:00,Alappuzha,Fog,Wet,Single Vehicle,Engine Bay,Moderate,109323,105243,Yes,Under Review
C00164,V0359,D0414,T09710,2025-07-28T02:42:00,Alappuzha,Rain,Slippery,Rear-end,Door,Moderate,128723,103325,No,Approved
C00165,V0352,D0462,T09875,2025-07-22T09:35:00,Kochi,Rain,Dry,Single Vehicle,Door,Major,204639,185396,No,Approved
C00166,V0014,D0359,T01936,2025-05-28T07:47:00,Kochi,Heavy Rain,Wet,Head-on,Rear Bumper,Moderate,144303,127894,No,Under Review
C00167,V0337,D0518,T03453,2025-10-08T13:41:00,Thrissur,Cloudy,Slippery,Rear-end,Front Bumper,Moderate,216148,211880,No,Approved
C00168,V0432,D0130,T03216,2025-07-17T17:04:00,Palakkad,Cloudy,Slippery,Single Vehicle,Windshield,Minor,65688,63075,Yes,Under Review
C00169,V0492,D0018,T01453,2025-10-11T07:03:00,Thrissur,Rain,Dry,Head-on,Rear Bumper,Major,68922,62251,No,Approved
C00170,V0071,D0590,T00098,2025-08-10T19:02:00,Alappuzha,Heavy Rain,Dry,Single Vehicle,Front Bumper,Major,110827,91855,Yes,Under Review
C00171,V0451,D0037,T08328,2025-07-08T04:21:00,Palakkad,Fog,Slippery,Single Vehicle,Windshield,Minor,158301,148923,No,Under Review
C00172,V0493,D0320,T03248,2025-10-01T01:00:00,Alappuzha,Heavy Rain,Slippery,Side,Headlight,Moderate,128395,109911,Yes,Approved
C00173,V0078,D0385,T04701,2025-03-17T07:13:00,Alappuzha,Rain,Dry,Head-on,Engine Bay,Major,227813,223219,Yes,Approved
C00174,V0257,D0347,T06436,2025-04-29T08:48:00,Kollam,Cloudy,Wet,Side,Front Bumper,Major,239132,199463,Yes,Approved
C00175,V0443,D0032,T07066,2025-07-13T18:45:00,Palakkad,Cloudy,Dry,Head-on,Engine Bay,Moderate,67314,64425,Yes,Rejected
C00176,V0444,D0425,T03888,2025-12-21T20:57:00,Alappuzha,Fog,Dry,Single Vehicle,Rear Bumper,Moderate,82975,78609,No,Approved
C00177,V0185,D0389,T05484,2025-11-12T18:21:00,Kollam,Fog,Wet,Side,Headlight,Minor,98497,90322,No,Under Review
C00178,V0407,D0236,T00538,2025-05-30T16:31:00,Kochi,Sunny,Slippery,Head-on,Rear Bumper,Major,227991,224478,No,Rejected
C00179,V0403,D0133,T09875,2025-10-09T14:11:00,Alappuzha,Heavy Rain,Wet,Rear-end,Door,Moderate,145344,124558,No,Approved
C00180,V0307,D0470,T09654,2025-12-24T08:25:00,Alappuzha,Rain,Wet,Rear-end,Door,Moderate,128775,122303,No,Rejected
C00181,V0498,D0004,T02871,2025-07-07T01:53:00,Palakkad,Sunny,Dry,Head-on,Windshield,Moderate,241934,232238,Yes,Rejected
C00182,V0384,D0412,T03435,2025-12-29T10:31:00,Kozhikode,Sunny,Dry,Single Vehicle,Rear Bumper,Moderate,218719,205160,No,Approved
C00183,V0418,D0414,T09721,2025-09-25T05:57:00,Kochi,Rain,Slippery,Head-on,Engine Bay,Minor,105362,88523,No,Under Review
C00184,V0107,D0449,T09448,2025-06-03T20:14:00,Thrissur,Fog,Slippery,Head-on,Engine Bay,Minor,230003,222836,Yes,Rejected
C00185,V0288,D0653,T03574,2025-07-30T19:43:00,Kollam,Sunny,Wet,Rear-end,Rear Bumper,Minor,199120,182818,No,Under Review
C00186,V0088,D0583,T09472,2025-11-15T04:44:00,Palakkad,Fog,Wet,Side,Headlight,Minor,229783,224278,No,Approved
C00187,V0216,D0300,T09641,2025-09-09T19:02:00,Kollam,Heavy Rain,Wet,Rear-end,Front Bumper,Moderate,218232,211714,No,Approved
C00188,V0324,D0537,T04974,2025-11-09T11:58:00,Thrissur,Fog,Slippery,Rear-end,Engine Bay,Major,196833,191690,No,Rejected
