service_id,vehicle_id,engine_serial_no,service_date,service_type,service_category,fault_code,diagnosis,technician,workshop,parts_replaced,labour_cost,parts_cost,total_cost,downtime_hours,next_service_due,warranty_claim,service_status
S00017,V0298,ESN777445,2025-07-29,Battery Replacement,Emergency,P0171,Battery degradation,TECH608,AutoMind Central,Spark Plug,4574,7997,12571,6.6,2026-01-25,No,Pending
S00018,V0265,ESN365834,2025-02-06,Brake Service,Emergency,P0012,Engine overheating,TECH781,Kerala Truck Service,Oil Filter,4140,8969,13109,3.4,2025-08-05,Yes,Pending
S00019,V0174,ESN386559,2025-01-22,Cooling System,Corrective,P0420,Engine overheating,TECH402,FleetCare Kochi,Air Filter,2617,4964,7581,8.8,2025-07-21,No,Pending
S00020,V0317,ESN786673,2025-01-07,Oil Change,Emergency,P0012,Routine inspection,TECH794,Kerala Truck Service,Coolant Hose,4179,9825,14004,8.3,2025-07-06,No,Completed
S00021,V0237,ESN705320,2025-09-29,Battery Replacement,Preventive,P0012,Battery degradation,TECH157,AutoMind Central,Battery,1860,894,2754,1.6,2026-03-28,No,Completed
S00022,V0061,ESN397587,2025-11-29,Cooling System,Corrective,P0000,Brake wear,TECH472,AutoMind Central,Coolant Hose,2496,10695,13191,8.0,2026-05-28,Yes,Pending
S00023,V0234,ESN183706,2025-01-30,Routine Service,Corrective,P0300,Battery degradation,TECH209,AutoMind Central,Oil Filter,1728,14373,16101,1.4,2025-07-29,Yes,Completed
S00024,V0435,ESN819898,2025-05-17,Engine Diagnostics,Preventive,P0000,Battery degradation,TECH986,Kerala Truck Service,Coolant Hose,2051,6543,8594,6.3,2025-11-13,Yes,Pending
S00025,V0134,ESN748606,2025-08-27,Battery Replacement,Corrective,P0300,Brake wear,TECH903,FleetCare Kochi,Coolant Hose,5021,15327,20348,3.3,2026-02-23,No,Completed
S00026,V0331,ESN518550,2025-12-31,Engine Diagnostics,Corrective,P0012,Routine inspection,TECH938,FleetCare Kochi,Coolant Hose,4221,5374,9595,5.6,2026-06-29,Yes,Pending
S00027,V0410,ESN807983,2025-04-05,Oil Change,Emergency,P0300,Battery degradation,TECH843,AutoMind Central,Brake Pads,1389,16361,17750,6.9,2025-10-02,Yes,Pending
S00028,V0051,ESN358166,2025-12-19,Battery Replacement,Corrective,P0012,Routine inspection,TECH429,FleetCare Kochi,Coolant Hose,2053,11267,13320,4.7,2026-06-17,Yes,Pending
S00029,V0083,ESN376942,2025-06-24,Battery Replacement,Preventive,P0000,Battery degradation,TECH641,AutoMind Central,Spark Plug,2840,4821,7661,6.7,2025-12-21,Yes,Completed
S00030,V0057,ESN637919,2025-12-18,Cooling System,Emergency,P0420,Brake wear,TECH622,FleetCare Kochi,Air Filter,2071,5375,7446,11.1,2026-06-16,No,Pending
S00031,V0340,ESN997648,2025-06-24,Cooling System,Emergency,P0300,Brake wear,TECH592,FleetCare Kochi,Coolant Hose,1198,19875,21073,8.6,2025-12-21,No,Completed
S00032,V0147,ESN897184,2025-06-29,Oil Change,Preventive,P0300,Low oil pressure,TECH586,AutoMind Central,Spark Plug,905,10981,11886,9.0,2025-12-26,No,Completed
S00033,V0175,ESN561298,2025-09-07,Battery Replacement,Corrective,P0300,Battery degradation,TECH568,Kerala Truck Service,Oil Filter,3942,7787,11729,4.4,2026-03-06,Yes,Pending
S00034,V0089,ESN364886,2025-03-09,Cooling System,Emergency,P0012,Battery degradation,TECH552,AutoMind Central,Coolant Hose,4288,16651,20939,5.8,2025-09-05,No,Completed
S00035,V0407,ESN226277,2025-02-02,Brake Service,Corrective,P0012,Routine inspection,TECH958,AutoMind Central,Air Filter,4190,3414,7604,6.9,2025-08-01,Yes,Pending
S00036,V0382,ESN347939,2025-01-09,Cooling System,Emergency,P0012,Brake wear,TECH442,Prime Motors,Air Filter,1605,6557,8162,6.9,2025-07-08,No,Completed
S00037,V0460,ESN874477,2025-03-15,Battery Replacement,Preventive,P0171,Engine overheating,TECH893,FleetCare Kochi,Air Filter,5964,11906,17870,8.0,2025-09-11,Yes,Completed
S00038,V0081,ESN499972,2025-06-25,Engine Diagnostics,Emergency,P0012,Low oil pressure,TECH106,FleetCare Kochi,Coolant Hose,3519,5674,9193,6.0,2025-12-22,No,Completed
S00039,V0412,ESN627707,2025-04-02,Battery Replacement,Preventive,P0300,Low oil pressure,TECH914,FleetCare Kochi,Air Filter,3899,16110,20009,11.1,2025-09-29,No,Pending
S00040,V0414,ESN774274,2025-05-07,Cooling System,Corrective,P0171,Brake wear,TECH816,Kerala Truck Service,Oil Filter,2752,1522,4274,6.4,2025-11-03,No,Pending
S00041,V0278,ESN602930,2025-03-07,Routine Service,Preventive,P0300,Battery degradation,TECH373,AutoMind Central,Air Filter,4353,17018,21371,1.9,2025-09-03,No,Pending
S00042,V0067,ESN799060,2025-11-23,Cooling System,Preventive,P0300,Engine overheating,TECH142,FleetCare Kochi,Brake Pads,5002,11551,16553,1.7,2026-05-22,Yes,Pending
S00043,V0362,ESN849440,2025-02-02,Brake Service,Corrective,P0420,Engine overheating,TECH248,Kerala Truck Service,Spark Plug,3343,969,4312,11.0,2025-08-01,No,Pending
S00044,V0163,ESN153265,2025-01-01,Routine Service,Emergency,P0171,Engine overheating,TECH786,Prime Motors,Brake Pads,1378,11092,12470,9.1,2025-06-30,No,Pending
S00045,V0034,ESN931840,2025-12-23,Battery Replacement,Corrective,P0000,Brake wear,TECH302,Kerala Truck Service,Brake Pads,5748,7517,13265,5.3,2026-06-21,Yes,Pending
S00046,V0238,ESN927621,2025-06-26,Engine Diagnostics,Preventive,P0171,Engine overheating,TECH819,AutoMind Central,Brake Pads,4137,14102,18239,6.4,2025-12-23,Yes,Completed
S00047,V0025,ESN532661,2025-04-29,Routine Service,Emergency,P0300,Low oil pressure,TECH968,Kerala Truck Service,Brake Pads,1404,8114,9518,7.3,2025-10-26,Yes,Completed
S00048,V0120,ESN487674,2025-10-07,Routine Service,Emergency,P0300,Battery degradation,TECH110,AutoMind Central,Battery,5183,11024,16207,7.9,2026-04-05,Yes,Pending
S00049,V0179,ESN609790,2025-08-03,Brake Service,Preventive,P0000,Routine inspection,TECH791,AutoMind Central,Spark Plug,5181,8314,13495,3.6,2026-01-30,Yes,Pending
S00050,V0206,ESN712249,2025-04-10,Routine Service,Preventive,P0420,Brake wear,TECH279,FleetCare Kochi,Air Filter,5300,10743,16043,5.3,2025-10-07,No,Pending
S00051,V0367,ESN364490,2025-01-22,Battery Replacement,Preventive,P0000,Engine overheating,TECH418,Kerala Truck Service,Coolant Hose,1568,16527,18095,9.3,2025-07-21,No,Completed
S00052,V0163,ESN173090,2025-04-06,Brake Service,Corrective,P0000,Low oil pressure,TECH220,Kerala Truck Service,Oil Filter,4679,13270,17949,12.0,2025-10-03,No,Completed
S00053,V0245,ESN754239,2025-03-29,Cooling System,Corrective,P0300,Low oil pressure,TECH678,AutoMind Central,Coolant Hose,5219,2100,7319,1.0,2025-09-25,No,Completed
S00054,V0047,ESN311562,2025-01-16,Brake Service,Preventive,P0012,Low oil pressure,TECH386,Kerala Truck Service,Oil Filter,4082,13708,17790,2.6,2025-07-15,Yes,Completed
S00055,V0041,ESN517379,2025-01-02,Oil Change,Corrective,P0000,Battery degradation,TECH563,AutoMind Central,Spark Plug,3966,8260,12226,9.7,2025-07-01,No,Pending
S00056,V0116,ESN546582,2025-04-23,Oil Change,Preventive,P0012,Battery degradation,TECH208,AutoMind Central,Air Filter,3644,15301,18945,9.9,2025-10-20,No,Pending
S00057,V0117,ESN397745,2025-03-27,Brake Service,Emergency,P0171,Battery degradation,TECH638,Prime Motors,Coolant Hose,3162,2430,5592,1.9,2025-09-23,Yes,Pending
S00058,V0052,ESN814555,2025-12-06,Cooling System,Corrective,P0000,Engine overheating,TECH900,Kerala Truck Service,Brake Pads,1097,15078,16175,5.6,2026-06-04,Yes,Pending
S00059,V0149,ESN441759,2025-05-31,Battery Replacement,Corrective,P0300,Battery degradation,TECH220,FleetCare Kochi,Air Filter,5246,7864,13110,6.1,2025-11-27,Yes,Completed
S00060,V0411,ESN570129,2025-01-24,Brake Service,Corrective,P0000,Battery degradation,TECH992,Kerala Truck Service,Air Filter,1353,6488,7841,3.4,2025-07-23,Yes,Pending
S00061,V0153,ESN546077,2025-01-23,Battery Replacement,Corrective,P0000,Low oil pressure,TECH331,AutoMind Central,Spark Plug,2575,2222,4797,11.8,2025-07-22,Yes,Completed
S00062,V0049,ESN558165,2025-12-05,Battery Replacement,Preventive,P0171,Battery degradation,TECH649,Prime Motors,Brake Pads,3593,19444,23037,5.0,2026-06-03,No,Pending
S00063,V0141,ESN225655,2025-07-07,Brake Service,Corrective,P0012,Brake wear,TECH375,AutoMind Central,Coolant Hose,4195,2973,7168,7.7,2026-01-03,No,Completed
S00064,V0193,ESN342508,2025-05-10,Routine Service,Emergency,P0420,Battery degradation,TECH353,Prime Motors,Oil Filter,5546,10679,16225,1.1,2025-11-06,No,Completed
S00065,V0485,ESN770991,2025-10-06,Engine Diagnostics,Emergency,P0300,Brake wear,TECH243,Prime Motors,Air Filter,1984,4525,6509,4.3,2026-04-04,No,Completed
S00066,V0256,ESN254046,2025-10-05,Battery Replacement,Corrective,P0420,Routine inspection,TECH868,FleetCare Kochi,Air Filter,1801,15720,17521,5.4,2026-04-03,No,Pending
S00067,V0070,ESN322532,2025-05-29,Cooling System,Corrective,P0012,Engine overheating,TECH591,AutoMind Central,Spark Plug,2539,7204,9743,11.7,2025-11-25,Yes,Completed
S00068,V0115,ESN390297,2025-01-02,Routine Service,Emergency,P0012,Low oil pressure,TECH631,AutoMind Central,Battery,2106,5417,7523,1.7,2025-07-01,Yes,Completed
S00069,V0300,ESN458560,2025-04-26,Engine Diagnostics,Corrective,P0000,Low oil pressure,TECH562,Prime Motors,Air Filter,1480,1672,3152,7.3,2025-10-23,Yes,Pending
S00070,V0071,ESN258198,2025-05-14,Oil Change,Corrective,P0300,Engine overheating,TECH745,Kerala Truck Service,Spark Plug,4066,18305,22371,6.8,2025-11-10,No,Completed
S00071,V0099,ESN150072,2025-08-04,Battery Replacement,Emergency,P0171,Low oil pressure,TECH894,FleetCare Kochi,Brake Pads,1852,17346,19198,11.3,2026-01-31,No,Pending
S00072,V0357,ESN330181,2025-09-22,Engine Diagnostics,Emergency,P0012,Battery degradation,TECH321,Prime Motors,Brake Pads,3913,18804,22717,6.9,2026-03-21,No,Pending
S00073,V0442,ESN606406,2025-03-18,Oil Change,Corrective,P0420,Battery degradation,TECH457,Prime Motors,Oil Filter,2545,13596,16141,5.8,2025-09-14,Yes,Completed
S00074,V0381,ESN617939,2025-07-04,Engine Diagnostics,Preventive,P0000,Brake wear,TECH597,Kerala Truck Service,Brake Pads,3222,4215,7437,6.7,2025-12-31,No,Completed
S00075,V0246,ESN694356,2025-05-20,Cooling System,Emergency,P0012,Battery degradation,TECH124,AutoMind Central,Air Filter,1912,16823,18735,7.7,2025-11-16,No,Pending
S00076,V0179,ESN255806,2025-11-15,Routine Service,Emergency,P0012,Brake wear,TECH208,FleetCare Kochi,Coolant Hose,2561,6102,8663,2.1,2026-05-14,Yes,Pending
S00077,V0307,ESN151448,2025-04-26,Battery Replacement,Emergency,P0171,Brake wear,TECH388,FleetCare Kochi,Oil Filter,2777,17876,20653,6.6,2025-10-23,No,Completed
S00078,V0275,ESN224747,2025-06-11,Oil Change,Emergency,P0420,Engine overheating,TECH561,Prime Motors,Spark Plug,5042,4940,9982,10.6,2025-12-08,Yes,Completed
S00079,V0168,ESN165299,2025-03-06,Cooling System,Preventive,P0300,Routine inspection,TECH275,FleetCare Kochi,Oil Filter,5298,2530,7828,4.5,2025-09-02,No,Pending
S00080,V0015,ESN139980,2025-09-12,Brake Service,Preventive,P0300,Battery degradation,TECH332,Kerala Truck Service,Brake Pads,3822,6514,10336,6.7,2026-03-11,Yes,Completed
S00081,V0479,ESN603811,2025-04-24,Battery Replacement,Corrective,P0420,Routine inspection,TECH972,Kerala Truck Service,Spark Plug,4823,9014,13837,2.8,2025-10-21,No,Pending
S00082,V0187,ESN871150,2025-07-28,Engine Diagnostics,Corrective,P0420,Routine inspection,TECH590,AutoMind Central,Coolant Hose,1712,11968,13680,7.3,2026-01-24,No,Completed
S00083,V0073,ESN801458,2025-04-16,Battery Replacement,Emergency,P0420,Battery degradation,TECH488,Prime Motors,Brake Pads,3238,3710,6948,2.2,2025-10-13,No,Completed
S00084,V0264,ESN196436,2025-04-05,Brake Service,Corrective,P0420,Battery degradation,TECH887,Kerala Truck Service,Battery,965,1094,2059,3.8,2025-10-02,Yes,Pending
S00085,V0294,ESN351648,2025-03-31,Oil Change,Corrective,P0012,Routine inspection,TECH495,FleetCare Kochi,Brake Pads,1438,18893,20331,4.0,2025-09-27,Yes,Pending
S00086,V0404,ESN804351,2025-03-02,Cooling System,Corrective,P0012,Engine overheating,TECH125,AutoMind Central,Air Filter,2782,19170,21952,2.8,2025-08-29,No,Completed
S00087,V0004,ESN468066,2025-06-15,Cooling System,Emergency,P0012,Low oil pressure,TECH993,Prime Motors,Oil Filter,1158,5587,6745,5.0,2025-12-12,Yes,Completed
S00088,V0232,ESN653896,2025-02-18,Routine Service,Preventive,P0420,Low oil pressure,TECH548,AutoMind Central,Air Filter,5389,10509,15898,3.5,2025-08-17,Yes,Completed
S00089,V0143,ESN116311,2025-02-16,Brake Service,Corrective,P0420,Engine overheating,TECH536,Kerala Truck Service,Spark Plug,3697,19436,23133,1.7,2025-08-15,Yes,Pending
S00090,V0359,ESN998436,2025-04-24,Oil Change,Emergency,P0012,Brake wear,TECH857,Kerala Truck Service,Oil Filter,3867,12677,16544,11.7,2025-10-21,Yes,Pending
S00091,V0088,ESN335114,2025-07-17,Brake Service,Corrective,P0000,Engine overheating,TECH191,AutoMind Central,Battery,2257,15830,18087,9.3,2026-01-13,Yes,Pending
S00092,V0192,ESN214751,2025-04-14,Oil Change,Emergency,P0300,Low oil pressure,TECH850,Prime Motors,Air Filter,5611,17932,23543,3.0,2025-10-11,Yes,Completed
S00093,V0448,ESN689771,2025-01-31,Oil Change,Corrective,P0171,Engine overheating,TECH953,Kerala Truck Service,Spark Plug,1938,17232,19170,1.2,2025-07-30,No,Completed
S00094,V0038,ESN555790,2025-12-15,Oil Change,Emergency,P0300,Low oil pressure,TECH728,FleetCare Kochi,Battery,2980,8415,11395,9.9,2026-06-13,Yes,Pending
S00095,V0323,ESN528832,2025-01-10,Routine Service,Corrective,P0012,Low oil pressure,TECH434,AutoMind Central,Brake Pads,2416,1643,4059,3.9,2025-07-09,No,Completed
S00096,V0335,ESN144956,2025-05-01,Battery Replacement,Emergency,P0000,Routine inspection,TECH560,Kerala Truck Service,Oil Filter,4843,16479,21322,1.2,2025-10-28,Yes,Pending
S00097,V0396,ESN952182,2025-03-21,Cooling System,Preventive,P0000,Brake wear,TECH457,AutoMind Central,Oil Filter,3908,10592,14500,1.1,2025-09-17,Yes,Completed
S00098,V0469,ESN979626,2025-06-11,Engine Diagnostics,Corrective,P0420,Engine overheating,TECH199,FleetCare Kochi,Brake Pads,1341,4758,6099,7.9,2025-12-08,Yes,Pending
S00099,V0449,ESN796433,2025-05-11,Battery Replacement,Preventive,P0000,Routine inspection,TECH269,Kerala Truck Service,Brake Pads,1823,1568,3391,8.1,2025-11-07,No,Pending
S00100,V0189,ESN475575,2025-05-25,Brake Service,Emergency,P0171,Low oil pressure,TECH914,FleetCare Kochi,Battery,5606,10165,15771,4.5,2025-11-21,No,Completed
S00101,V0079,ESN985782,2025-04-17,Engine Diagnostics,Corrective,P0420,Brake wear,TECH783,Kerala Truck Service,Coolant Hose,1581,17547,19128,9.1,2025-10-14,Yes,Pending
S00102,V0201,ESN884790,2025-08-06,Engine Diagnostics,Corrective,P0000,Engine overheating,TECH991,AutoMind Central,Brake Pads,3943,10853,14796,11.0,2026-02-02,Yes,Pending
S00103,V0244,ESN555904,2025-05-30,Routine Service,Emergency,P0171,Low oil pressure,TECH422,FleetCare Kochi,Oil Filter,4213,5711,9924,2.9,2025-11-26,No,Pending
S00104,V0292,ESN279863,2025-01-10,Cooling System,Corrective,P0000,Brake wear,TECH568,FleetCare Kochi,Brake Pads,5893,10993,16886,3.2,2025-07-09,No,Pending
S00105,V0338,ESN268444,2025-07-29,Battery Replacement,Corrective,P0420,Battery degradation,TECH138,Prime Motors,Oil Filter,5192,11242,16434,7.3,2026-01-25,No,Pending
S00106,V0325,ESN722619,2025-01-25,Routine Service,Preventive,P0012,Routine inspection,TECH359,Kerala Truck Service,Oil Filter,3399,6532,9931,2.3,2025-07-24,Yes,Pending
S00107,V0243,ESN413682,2025-03-15,Battery Replacement,Preventive,P0420,Battery degradation,TECH211,Prime Motors,Coolant Hose,3986,5285,9271,3.3,2025-09-11,Yes,Completed
S00108,V0133,ESN992800,2025-05-25,Battery Replacement,Preventive,P0012,Low oil pressure,TECH941,FleetCare Kochi,Air Filter,1068,8906,9974,11.1,2025-11-21,No,Pending
S00109,V0164,ESN745003,2025-04-23,Brake Service,Preventive,P0012,Engine overheating,TECH509,FleetCare Kochi,Spark Plug,5792,15031,20823,6.9,2025-10-20,No,Pending
S00110,V0044,ESN798639,2025-01-13,Routine Service,Preventive,P0420,Routine inspection,TECH285,AutoMind Central,Battery,1991,6309,8300,4.0,2025-07-12,Yes,Completed
S00111,V0021,ESN539670,2025-06-02,Engine Diagnostics,Preventive,P0420,Battery degradation,TECH583,Prime Motors,Coolant Hose,3091,18841,21932,4.2,2025-11-29,Yes,Completed
S00112,V0053,ESN793567,2025-06-26,Battery Replacement,Corrective,P0000,Brake wear,TECH927,Kerala Truck Service,Coolant Hose,2103,9714,11817,11.3,2025-12-23,No,Pending
S00113,V0018,ESN144607,2025-01-31,Routine Service,Preventive,P0000,Brake wear,TECH730,Kerala Truck Service,Spark Plug,4451,9484,13935,2.9,2025-07-30,Yes,Completed
S00114,V0202,ESN430103,2025-11-16,Battery Replacement,Corrective,P0300,Battery degradation,TECH232,AutoMind Central,Coolant Hose,5034,7285,12319,5.8,2026-05-15,No,Pending
S00115,V0049,ESN870358,2025-11-18,Engine Diagnostics,Corrective,P0171,Low oil pressure,TECH603,FleetCare Kochi,Coolant Hose,2683,14053,16736,7.9,2026-05-17,Yes,Completed
S00116,V0153,ESN861456,2025-11-13,Oil Change,Preventive,P0000,Routine inspection,TECH821,Kerala Truck Service,Spark Plug,1913,16498,18411,8.5,2026-05-12,No,Completed
S00117,V0425,ESN619427,2025-07-14,Brake Service,Corrective,P0420,Brake wear,TECH684,AutoMind Central,Battery,5410,19811,25221,10.1,2026-01-10,No,Completed
S00118,V0294,ESN648914,2025-07-10,Battery Replacement,Preventive,P0300,Routine inspection,TECH513,AutoMind Central,Battery,2121,14030,16151,7.4,2026-01-06,No,Pending
S00119,V0307,ESN810121,2025-10-15,Routine Service,Corrective,P0420,Low oil pressure,TECH215,Kerala Truck Service,Brake Pads,1843,2480,4323,10.0,2026-04-13,Yes,Pending
S00120,V0173,ESN182507,2025-01-16,Routine Service,Corrective,P0420,Routine inspection,TECH844,AutoMind Central,Coolant Hose,3400,14020,17420,4.4,2025-07-15,Yes,Pending
S00121,V0167,ESN599970,2025-05-05,Battery Replacement,Emergency,P0300,Routine inspection,TECH244,FleetCare Kochi,Air Filter,3065,2185,5250,7.4,2025-11-01,No,Pending
S00122,V0292,ESN709805,2025-07-28,Cooling System,Corrective,P0300,Low oil pressure,TECH825,FleetCare Kochi,Brake Pads,4225,10370,14595,4.7,2026-01-24,No,Completed
S00123,V0378,ESN764845,2025-04-12,Brake Service,Corrective,P0300,Brake wear,TECH356,Prime Motors,Brake Pads,1132,1584,2716,5.3,2025-10-09,Yes,Pending
S00124,V0302,ESN188187,2025-01-05,Oil Change,Corrective,P0300,Low oil pressure,TECH392,FleetCare Kochi,Brake Pads,4294,13275,17569,10.6,2025-07-04,Yes,Completed
S00125,V0442,ESN560294,2025-05-10,Battery Replacement,Corrective,P0420,Routine inspection,TECH672,Kerala Truck Service,Spark Plug,962,8838,9800,8.7,2025-11-06,No,Pending
S00126,V0191,ESN737745,2025-03-02,Battery Replacement,Corrective,P0000,Low oil pressure,TECH788,Prime Motors,Coolant Hose,2386,14855,17241,10.0,2025-08-29,No,Pending
S00127,V0344,ESN365061,2025-09-28,Engine Diagnostics,Emergency,P0171,Engine overheating,TECH277,Kerala Truck Service,Oil Filter,3896,11595,15491,8.0,2026-03-27,No,Pending
S00128,V0203,ESN361300,2025-04-27,Engine Diagnostics,Preventive,P0300,Routine inspection,TECH555,Prime Motors,Oil Filter,1851,1311,3162,9.2,2025-10-24,No,Pending
S00129,V0360,ESN623924,2025-08-22,Routine Service,Emergency,P0171,Battery degradation,TECH738,AutoMind Central,Battery,1229,14968,16197,7.7,2026-02-18,Yes,Pending
S00130,V0306,ESN724762,2025-05-18,Oil Change,Preventive,P0300,Brake wear,TECH587,Prime Motors,Battery,939,8959,9898,7.0,2025-11-14,No,Pending
S00131,V0351,ESN292600,2025-06-06,Battery Replacement,Corrective,P0171,Brake wear,TECH682,FleetCare Kochi,Coolant Hose,5438,2200,7638,9.6,2025-12-03,Yes,Pending
S00132,V0467,ESN902877,2025-03-19,Brake Service,Corrective,P0300,Brake wear,TECH538,Kerala Truck Service,Spark Plug,5909,847,6756,2.0,2025-09-15,No,Pending
S00133,V0410,ESN830033,2025-08-08,Routine Service,Corrective,P0000,Routine inspection,TECH860,Prime Motors,Brake Pads,3514,17296,20810,7.2,2026-02-04,Yes,Completed
S00134,V0304,ESN481564,2025-10-18,Routine Service,Corrective,P0000,Brake wear,TECH982,AutoMind Central,Battery,5428,19799,25227,2.6,2026-04-16,Yes,Pending
S00135,V0028,ESN836893,2025-02-09,Brake Service,Preventive,P0000,Routine inspection,TECH817,AutoMind Central,Air Filter,2406,17149,19555,1.8,2025-08-08,Yes,Completed
S00136,V0435,ESN180350,2025-09-24,Cooling System,Emergency,P0012,Brake wear,TECH255,Kerala Truck Service,Oil Filter,3023,2573,5596,11.4,2026-03-23,No,Pending
S00137,V0383,ESN832599,2025-02-26,Oil Change,Emergency,P0420,Battery degradation,TECH168,FleetCare Kochi,Coolant Hose,1224,4698,5922,10.0,2025-08-25,Yes,Completed
S00138,V0467,ESN737824,2025-12-05,Brake Service,Preventive,P0000,Low oil pressure,TECH140,Prime Motors,Air Filter,4362,17845,22207,3.1,2026-06-03,Yes,Pending
S00139,V0154,ESN998940,2025-06-09,Cooling System,Emergency,P0171,Battery degradation,TECH472,Kerala Truck Service,Oil Filter,4705,7656,12361,6.9,2025-12-06,No,Completed
S00140,V0245,ESN763103,2025-08-12,Routine Service,Preventive,P0300,Brake wear,TECH799,AutoMind Central,Coolant Hose,5025,14463,19488,2.6,2026-02-08,No,Pending
S00141,V0235,ESN913018,2025-09-01,Routine Service,Corrective,P0420,Battery degradation,TECH533,AutoMind Central,Coolant Hose,5272,13286,18558,5.4,2026-02-28,Yes,Completed
S00142,V0109,ESN821117,2025-06-10,Cooling System,Corrective,P0171,Routine inspection,TECH288,Prime Motors,Oil Filter,2646,6094,8740,11.8,2025-12-07,Yes,Completed
S00143,V0384,ESN226290,2025-12-15,Routine Service,Corrective,P0012,Battery degradation,TECH572,AutoMind Central,Coolant Hose,3130,14196,17326,1.7,2026-06-13,No,Completed
S00144,V0403,ESN632096,2025-11-10,Oil Change,Emergency,P0420,Engine overheating,TECH479,Kerala Truck Service,Spark Plug,4160,9744,13904,9.2,2026-05-09,Yes,Completed
S00145,V0428,ESN209997,2025-06-24,Oil Change,Preventive,P0420,Routine inspection,TECH158,Prime Motors,Spark Plug,4052,4606,8658,10.6,2025-12-21,No,Completed
S00146,V0044,ESN581152,2025-12-31,Cooling System,Corrective,P0012,Low oil pressure,TECH934,Prime Motors,Coolant Hose,3533,7199,10732,3.9,2026-06-29,Yes,Completed
S00147,V0109,ESN310664,2025-10-04,Engine Diagnostics,Preventive,P0012,Engine overheating,TECH577,Kerala Truck Service,Oil Filter,2592,15419,18011,9.1,2026-04-02,Yes,Completed
S00148,V0270,ESN863657,2025-01-01,Oil Change,Preventive,P0420,Brake wear,TECH963,AutoMind Central,Oil Filter,5475,11714,17189,2.8,2025-06-30,Yes,Pending
S00149,V0178,ESN441878,2025-08-03,Brake Service,Emergency,P0000,Low oil pressure,TECH675,Prime Motors,Oil Filter,4850,14973,19823,10.3,2026-01-30,No,Completed
S00150,V0100,ESN107153,2025-03-26,Brake Service,Corrective,P0012,Low oil pressure,TECH802,Kerala Truck Service,Coolant Hose,5370,15574,20944,3.2,2025-09-22,No,Pending
