trip_id,vehicle_id,driver_id,route_id,start_time,end_time,distance_km,trip_status,average_speed_kmph,weather_id
T00031,V0420,D0018,R099,2025-05-03T18:14:00,2025-05-03T22:54:00,55,Cancelled,11.8,W20250503
T00032,V0183,D0067,R017,2025-10-29T15:46:00,2025-10-29T20:24:00,95,Completed,20.5,W20251029
T00033,V0139,D0637,R038,2025-03-24T01:11:00,2025-03-24T06:08:00,95,Completed,19.2,W20250324
T00034,V0338,D0506,R012,2025-06-02T13:20:00,2025-06-02T14:20:00,95,Completed,95.0,W20250602
T00035,V0120,D0329,R068,2025-02-15T01:29:00,2025-02-15T03:22:00,95,Completed,50.4,W20250215
T00036,V0097,D0456,R075,2025-06-10T03:50:00,2025-06-10T07:20:00,85,Cancelled,24.3,W20250610
T00037,V0439,D0033,R017,2025-06-11T01:10:00,2025-06-11T01:59:00,95,Cancelled,116.3,W20250611
T00038,V0162,D0657,R019,2025-10-28T20:18:00,2025-10-28T23:35:00,55,Cancelled,16.8,W20251028
T00039,V0157,D0392,R093,2025-08-24T05:42:00,2025-08-24T08:46:00,65,Completed,21.2,W20250824
T00040,V0269,D0653,R076,2025-08-04T13:22:00,2025-08-04T17:46:00,95,Completed,21.6,W20250804
T00041,V0018,D0692,R054,2025-09-08T21:12:00,2025-09-09T01:22:00,95,Cancelled,22.8,W20250908
T00042,V0024,D0508,R011,2025-01-21T22:20:00,2025-01-22T02:17:00,85,Completed,21.5,W20250121
T00043,V0290,D0229,R029,2025-12-03T18:44:00,2025-12-03T23:04:00,70,Cancelled,16.2,W20251203
T00044,V0232,D0250,R093,2025-11-13T11:54:00,2025-11-13T16:41:00,65,Cancelled,13.6,W20251113
T00045,V0320,D0035,R089,2025-09-26T21:50:00,2025-09-26T22:59:00,85,Completed,73.9,W20250926
T00046,V0038,D0084,R048,2025-10-20T06:58:00,2025-10-20T08:08:00,75,Completed,64.3,W20251020
T00047,V0183,D0389,R082,2025-09-20T08:01:00,2025-09-20T11:19:00,75,Completed,22.7,W20250920
T00048,V0001,D0472,R017,2025-10-24T10:55:00,2025-10-24T15:40:00,95,Completed,20.0,W20251024
T00049,V0053,D0129,R088,2025-12-18T23:33:00,2025-12-19T02:28:00,95,Completed,32.6,W20251218
T00050,V0111,D0512,R086,2025-09-26T17:07:00,2025-09-26T19:02:00,65,Completed,33.9,W20250926
T00051,V0230,D0430,R034,2025-08-02T12:05:00,2025-08-02T13:54:00,70,Completed,38.5,W20250802
T00052,V0394,D0530,R058,2025-06-01T18:52:00,2025-06-01T22:04:00,95,Completed,29.7,W20250601
T00053,V0278,D0069,R058,2025-12-17T00:43:00,2025-12-17T02:15:00,95,Completed,62.0,W20251217
T00054,V0099,D0405,R052,2025-04-08T22:14:00,2025-04-09T03:10:00,65,Completed,13.2,W20250408
T00055,V0317,D0551,R099,2025-02-04T20:43:00,2025-02-04T22:46:00,55,Cancelled,26.8,W20250204
T00056,V0177,D0235,R031,2025-12-09T08:00:00,2025-12-09T12:22:00,65,Completed,14.9,W20251209
T00057,V0114,D0530,R046,2025-08-08T10:15:00,2025-08-08T13:54:00,70,Cancelled,19.2,W20250808
T00058,V0179,D0074,R036,2025-05-29T00:32:00,2025-05-29T05:24:00,75,Completed,15.4,W20250529
T00059,V0002,D0548,R023,2025-06-15T06:20:00,2025-06-15T10:07:00,95,Cancelled,25.1,W20250615
T00060,V0439,D0338,R070,2025-06-14T18:39:00,2025-06-14T20:28:00,55,Cancelled,30.3,W20250614
T00061,V0279,D0168,R072,2025-01-23T11:15:00,2025-01-23T12:35:00,75,Completed,56.2,W20250123
T00062,V0268,D0292,R023,2025-01-16T21:22:00,2025-01-16T22:54:00,95,Completed,62.0,W20250116
T00063,V0305,D0387,R096,2025-04-02T09:32:00,2025-04-02T11:37:00,95,Completed,45.6,W20250402
T00064,V0450,D0546,R020,2025-09-25T22:26:00,2025-09-26T03:20:00,65,Completed,13.3,W20250925
T00065,V0258,D0651,R029,2025-07-18T07:25:00,2025-07-18T09:11:00,70,Completed,39.6,W20250718
T00066,V0148,D0325,R031,2025-01-11T11:54:00,2025-01-11T13:18:00,65,Completed,46.4,W20250111
T00067,V0278,D0649,R058,2025-12-13T17:39:00,2025-12-13T22:28:00,95,Completed,19.7,W20251213
T00068,V0475,D0511,R045,2025-02-02T12:47:00,2025-02-02T16:29:00,70,Completed,18.9,W20250202
T00069,V0168,D0230,R016,2025-12-08T21:04:00,2025-12-09T01:50:00,65,Completed,13.6,W20251208
T00070,V0128,D0570,R002,2025-01-05T05:40:00,2025-01-05T08:53:00,75,Completed,23.3,W20250105
T00071,V0462,D0661,R057,2025-04-29T08:40:00,2025-04-29T11:35:00,75,Cancelled,25.7,W20250429
T00072,V0005,D0070,R009,2025-08-30T05:36:00,2025-08-30T10:33:00,65,Completed,13.1,W20250830
T00073,V0309,D0691,R081,2025-09-16T12:49:00,2025-09-16T14:23:00,55,Cancelled,35.1,W20250916
T00074,V0161,D0654,R013,2025-03-05T13:28:00,2025-03-05T15:04:00,65,Completed,40.6,W20250305
T00075,V0155,D0454,R043,2025-05-25T02:29:00,2025-05-25T07:29:00,65,Completed,13.0,W20250525
T00076,V0437,D0450,R036,2025-11-17T15:58:00,2025-11-17T20:53:00,75,Cancelled,15.3,W20251117
T00077,V0073,D0281,R015,2025-04-25T10:24:00,2025-04-25T12:08:00,75,Cancelled,43.3,W20250425
T00078,V0420,D0623,R071,2025-10-08T05:08:00,2025-10-08T07:37:00,95,Completed,38.3,W20251008
T00079,V0312,D0623,R097,2025-04-29T08:40:00,2025-04-29T12:44:00,65,Completed,16.0,W20250429
T00080,V0297,D0320,R069,2025-09-08T09:59:00,2025-09-08T13:33:00,70,Completed,19.6,W20250908
T00081,V0004,D0377,R086,2025-04-10T17:59:00,2025-04-10T20:31:00,65,Completed,25.7,W20250410
T00082,V0212,D0426,R027,2025-08-15T07:22:00,2025-08-15T12:07:00,85,Completed,17.9,W20250815
T00083,V0287,D0117,R003,2025-05-22T05:35:00,2025-05-22T09:05:00,85,Cancelled,24.3,W20250522
T00084,V0285,D0363,R088,2025-02-09T11:32:00,2025-02-09T15:42:00,95,Cancelled,22.8,W20250209
T00085,V0443,D0194,R073,2025-10-05T21:21:00,2025-10-06T02:21:00,85,Completed,17.0,W20251005
T00086,V0334,D0042,R067,2025-03-08T15:36:00,2025-03-08T20:29:00,55,Completed,11.3,W20250308
T00087,V0014,D0048,R096,2025-02-11T11:53:00,2025-02-11T13:21:00,95,Cancelled,64.8,W20250211
T00088,V0268,D0604,R072,2025-03-16T00:02:00,2025-03-16T01:43:00,75,Completed,44.6,W20250316
T00089,V0049,D0072,R098,2025-11-27T07:25:00,2025-11-27T10:47:00,75,Completed,22.3,W20251127
T00090,V0310,D0402,R017,2025-01-08T01:25:00,2025-01-08T03:01:00,95,Completed,59.4,W20250108
T00091,V0123,D0413,R085,2025-09-24T06:36:00,2025-09-24T09:54:00,55,Completed,16.7,W20250924
T00092,V0129,D0330,R028,2025-02-23T18:19:00,2025-02-23T19:39:00,85,Completed,63.8,W20250223
T00093,V0262,D0113,R041,2025-07-21T13:22:00,2025-07-21T15:38:00,65,Completed,28.7,W20250721
T00094,V0247,D0018,R017,2025-06-11T20:39:00,2025-06-12T01:14:00,95,Completed,20.7,W20250611
T00095,V0173,D0606,R076,2025-07-06T12:23:00,2025-07-06T14:39:00,95,Completed,41.9,W20250706
T00096,V0424,D0289,R057,2025-09-27T00:47:00,2025-09-27T02:12:00,75,Completed,52.9,W20250927
T00097,V0465,D0348,R048,2025-12-07T03:48:00,2025-12-07T05:46:00,75,Completed,38.1,W20251207
T00098,V0402,D0222,R092,2025-11-09T01:20:00,2025-11-09T04:30:00,70,Completed,22.1,W20251109
T00099,V0038,D0534,R068,2025-06-23T01:31:00,2025-06-23T03:01:00,95,Cancelled,63.3,W20250623
T00100,V0447,D0524,R093,2025-01-12T08:16:00,2025-01-12T11:05:00,65,Cancelled,23.1,W20250112
T00101,V0227,D0664,R028,2025-10-11T03:34:00,2025-10-11T06:10:00,85,Completed,32.7,W20251011
T00102,V0349,D0286,R084,2025-05-07T10:03:00,2025-05-07T12:53:00,85,Completed,30.0,W20250507
T00103,V0033,D0205,R004,2025-11-29T20:58:00,2025-11-30T00:52:00,65,Cancelled,16.7,W20251129
T00104,V0266,D0564,R028,2025-02-17T13:40:00,2025-02-17T16:27:00,85,Cancelled,30.5,W20250217
T00105,V0340,D0394,R017,2025-08-25T22:05:00,2025-08-25T23:22:00,95,Completed,74.0,W20250825
T00106,V0159,D0511,R013,2025-05-31T14:49:00,2025-05-31T17:01:00,65,Completed,29.5,W20250531
T00107,V0040,D0524,R092,2025-06-27T22:11:00,2025-06-28T01:10:00,70,Completed,23.5,W20250627
T00108,V0315,D0481,R053,2025-12-05T23:40:00,2025-12-06T04:24:00,55,Completed,11.6,W20251205
T00109,V0127,D0547,R056,2025-11-10T23:20:00,2025-11-11T03:35:00,95,Completed,22.4,W20251110
T00110,V0355,D0246,R064,2025-12-14T15:57:00,2025-12-14T18:33:00,75,Cancelled,28.8,W20251214
T00111,V0415,D0387,R085,2025-05-30T08:17:00,2025-05-30T11:52:00,55,Completed,15.3,W20250530
T00112,V0107,D0195,R028,2025-03-31T05:44:00,2025-03-31T07:51:00,85,Completed,40.2,W20250331
T00113,V0291,D0503,R084,2025-10-08T14:23:00,2025-10-08T16:57:00,85,Cancelled,33.1,W20251008
T00114,V0039,D0624,R005,2025-11-03T04:51:00,2025-11-03T08:11:00,65,Completed,19.5,W20251103
T00115,V0027,D0583,R029,2025-09-15T23:23:00,2025-09-16T01:30:00,70,Completed,33.1,W20250915
T00116,V0246,D0445,R053,2025-10-21T17:23:00,2025-10-21T18:27:00,55,Completed,51.6,W20251021
T00117,V0321,D0091,R005,2025-07-04T04:29:00,2025-07-04T08:44:00,65,Completed,15.3,W20250704
T00118,V0353,D0169,R012,2025-11-15T19:28:00,2025-11-15T22:39:00,95,Completed,29.8,W20251115
T00119,V0308,D0103,R018,2025-10-02T08:58:00,2025-10-02T09:52:00,85,Cancelled,94.4,W20251002
T00120,V0017,D0627,R035,2025-03-28T06:59:00,2025-03-28T10:46:00,95,Completed,25.1,W20250328
T00121,V0243,D0120,R097,2025-10-04T23:27:00,2025-10-05T03:27:00,65,Cancelled,16.2,W20251004
T00122,V0170,D0156,R015,2025-10-28T02:04:00,2025-10-28T06:41:00,75,Completed,16.2,W20251028
T00123,V0157,D0546,R031,2025-02-22T18:22:00,2025-02-22T22:31:00,65,Cancelled,15.7,W20250222
T00124,V0407,D0512,R066,2025-10-24T21:34:00,2025-10-25T01:39:00,85,Completed,20.8,W20251024
T00125,V0125,D0133,R001,2025-11-01T04:37:00,2025-11-01T08:43:00,85,Completed,20.7,W20251101
T00126,V0054,D0689,R072,2025-05-09T13:13:00,2025-05-09T17:47:00,75,Cancelled,16.4,W20250509
T00127,V0282,D0121,R083,2025-07-04T12:19:00,2025-07-04T15:27:00,75,Cancelled,23.9,W20250704
T00128,V0148,D0531,R056,2025-03-12T00:44:00,2025-03-12T04:27:00,95,Completed,25.6,W20250312
T00129,V0102,D0022,R061,2025-01-30T04:31:00,2025-01-30T07:18:00,75,Completed,26.9,W20250130
T00130,V0324,D0632,R054,2025-08-05T19:01:00,2025-08-05T22:14:00,95,Completed,29.5,W20250805
T00131,V0265,D0219,R043,2025-02-20T10:16:00,2025-02-20T11:45:00,65,Completed,43.8,W20250220
T00132,V0264,D0576,R055,2025-11-21T04:03:00,2025-11-21T05:19:00,55,Completed,43.4,W20251121
T00133,V0176,D0152,R049,2025-12-10T03:43:00,2025-12-10T07:33:00,85,Completed,22.2,W20251210
T00134,V0483,D0406,R050,2025-05-09T03:24:00,2025-05-09T07:31:00,95,Completed,23.1,W20250509
T00135,V0330,D0113,R070,2025-06-16T17:59:00,2025-06-16T22:44:00,55,Completed,11.6,W20250616
T00136,V0151,D0360,R029,2025-11-24T07:30:00,2025-11-24T08:35:00,70,Completed,64.6,W20251124
T00137,V0119,D0120,R037,2025-08-29T23:24:00,2025-08-30T02:44:00,95,Completed,28.5,W20250829
T00138,V0201,D0647,R095,2025-02-10T20:53:00,2025-02-10T22:44:00,85,Completed,45.9,W20250210
T00139,V0259,D0296,R046,2025-01-06T03:20:00,2025-01-06T05:33:00,70,Completed,31.6,W20250106
T00140,V0446,D0262,R059,2025-03-09T05:59:00,2025-03-09T08:09:00,75,Completed,34.6,W20250309
T00141,V0335,D0689,R035,2025-11-24T03:09:00,2025-11-24T04:02:00,95,Completed,107.5,W20251124
T00142,V0148,D0122,R035,2025-03-13T06:42:00,2025-03-13T10:50:00,95,Completed,23.0,W20250313
T00143,V0314,D0262,R016,2025-01-23T00:25:00,2025-01-23T04:17:00,65,Completed,16.8,W20250123
T00144,V0077,D0606,R090,2025-02-25T02:19:00,2025-02-25T03:24:00,85,Cancelled,78.5,W20250225
T00145,V0030,D0398,R077,2025-05-08T23:12:00,2025-05-09T00:06:00,85,Completed,94.4,W20250508
T00146,V0434,D0351,R001,2025-02-01T07:34:00,2025-02-01T10:12:00,85,Completed,32.3,W20250201
T00147,V0427,D0183,R017,2025-03-12T02:05:00,2025-03-12T05:25:00,95,Completed,28.5,W20250312
T00148,V0067,D0327,R070,2025-07-29T02:11:00,2025-07-29T03:00:00,55,Completed,67.3,W20250729
T00149,V0438,D0011,R072,2025-01-04T03:39:00,2025-01-04T07:13:00,75,Completed,21.0,W20250104
T00150,V0003,D0458,R072,2025-07-19T15:45:00,2025-07-19T18:36:00,75,Completed,26.3,W20250719
T00151,V0306,D0534,R083,2025-04-26T11:41:00,2025-04-26T12:59:00,75,Completed,57.7,W20250426
T00152,V0097,D0651,R022,2025-01-26T12:24:00,2025-01-26T14:29:00,70,Completed,33.6,W20250126
T00153,V0047,D0264,R079,2025-03-24T00:52:00,2025-03-24T02:43:00,70,Completed,37.8,W20250324
T00154,V0145,D0185,R023,2025-09-29T09:12:00,2025-09-29T12:09:00,95,Cancelled,32.2,W20250929
T00155,V0273,D0083,R095,2025-09-04T01:40:00,2025-09-04T04:40:00,85,Completed,28.3,W20250904
T00156,V0290,D0327,R098,2025-09-21T03:11:00,2025-09-21T07:05:00,75,Completed,19.2,W20250921
T00157,V0229,D0507,R022,2025-03-21T19:59:00,2025-03-21T23:26:00,70,Completed,20.3,W20250321
T00158,V0231,D0241,R003,2025-06-03T14:44:00,2025-06-03T16:02:00,85,Completed,65.4,W20250603
T00159,V0239,D0541,R016,2025-12-28T10:40:00,2025-12-28T14:34:00,65,Cancelled,16.7,W20251228
T00160,V0306,D0503,R095,2025-04-28T04:27:00,2025-04-28T05:33:00,85,Completed,77.3,W20250428
T00161,V0387,D0464,R072,2025-11-21T04:32:00,2025-11-21T08:42:00,75,Completed,18.0,W20251121
T00162,V0305,D0524,R078,2025-06-06T11:16:00,2025-06-06T14:00:00,75,Completed,27.4,W20250606
T00163,V0486,D0410,R002,2025-06-30T14:27:00,2025-06-30T16:14:00,75,Completed,42.1,W20250630
T00164,V0444,D0064,R043,2025-04-06T18:36:00,2025-04-06T21:45:00,65,Cancelled,20.6,W20250406
T00165,V0448,D0297,R005,2025-12-05T18:43:00,2025-12-05T22:48:00,65,Completed,15.9,W20251205
T00166,V0218,D0631,R035,2025-06-13T02:41:00,2025-06-13T03:54:00,95,Cancelled,78.1,W20250613
T00167,V0216,D0449,R081,2025-01-16T14:24:00,2025-01-16T17:12:00,55,Completed,19.6,W20250116
T00168,V0116,D0449,R030,2025-12-05T20:17:00,2025-12-05T23:35:00,65,Completed,19.7,W20251205
T00169,V0001,D0405,R091,2025-01-12T04:31:00,2025-01-12T05:28:00,70,Cancelled,73.7,W20250112
T00170,V0458,D0056,R098,2025-10-12T18:25:00,2025-10-12T22:51:00,75,Completed,16.9,W20251012
T00171,V0342,D0273,R093,2025-09-17T03:40:00,2025-09-17T06:20:00,65,Cancelled,24.4,W20250917
T00172,V0439,D0260,R062,2025-03-16T07:36:00,2025-03-16T08:42:00,70,Cancelled,63.6,W20250316
T00173,V0060,D0107,R050,2025-12-30T02:55:00,2025-12-30T03:48:00,95,Completed,107.5,W20251230
T00174,V0454,D0281,R083,2025-01-18T11:08:00,2025-01-18T12:43:00,75,Completed,47.4,W20250118
T00175,V0123,D0229,R039,2025-03-18T18:25:00,2025-03-18T20:18:00,55,Cancelled,29.2,W20250318
T00176,V0061,D0182,R079,2025-07-20T00:28:00,2025-07-20T02:18:00,70,Cancelled,38.2,W20250720
T00177,V0344,D0259,R011,2025-02-24T06:31:00,2025-02-24T07:48:00,85,Cancelled,66.2,W20250224
T00178,V0389,D0574,R040,2025-01-16T08:14:00,2025-01-16T11:13:00,95,Completed,31.8,W20250116
T00179,V0315,D0003,R002,2025-08-03T09:56:00,2025-08-03T13:45:00,75,Completed,19.7,W20250803
T00180,V0269,D0186,R024,2025-06-17T17:41:00,2025-06-17T22:04:00,55,Cancelled,12.5,W20250617
T00181,V0274,D0164,R042,2025-12-11T13:07:00,2025-12-11T14:56:00,75,Completed,41.3,W20251211
T00182,V0214,D0414,R056,2025-04-23T09:24:00,2025-04-23T12:31:00,95,Cancelled,30.5,W20250423
T00183,V0362,D0062,R017,2025-02-03T07:01:00,2025-02-03T11:19:00,95,Completed,22.1,W20250203
T00184,V0036,D0455,R023,2025-07-04T01:05:00,2025-07-04T04:34:00,95,Completed,27.3,W20250704
T00185,V0093,D0096,R001,2025-11-17T11:22:00,2025-11-17T16:11:00,85,Completed,17.6,W20251117
T00186,V0220,D0536,R028,2025-04-04T22:07:00,2025-04-05T03:06:00,85,Completed,17.1,W20250404
T00187,V0271,D0489,R046,2025-12-27T17:54:00,2025-12-27T20:50:00,70,Completed,23.9,W20251227
T00188,V0294,D0423,R041,2025-06-25T03:12:00,2025-06-25T06:05:00,65,Completed,22.5,W20250625
T00189,V0020,D0158,R034,2025-05-27T22:04:00,2025-05-28T02:24:00,70,Completed,16.2,W20250527
T00190,V0036,D0062,R048,2025-10-01T01:16:00,2025-10-01T04:22:00,75,Cancelled,24.2,W20251001
T00191,V0087,D0071,R089,2025-09-16T13:49:00,2025-09-16T17:47:00,85,Completed,21.4,W20250916
T00192,V0223,D0478,R054,2025-10-09T21:38:00,2025-10-09T23:29:00,95,Cancelled,51.4,W20251009
T00193,V0022,D0231,R098,2025-06-28T18:37:00,2025-06-28T19:31:00,75,Completed,83.3,W20250628
T00194,V0366,D0432,R058,2025-06-13T19:19:00,2025-06-13T22:44:00,95,Completed,27.8,W20250613
T00195,V0079,D0500,R091,2025-07-22T10:55:00,2025-07-22T15:49:00,70,Cancelled,14.3,W20250722
T00196,V0439,D0245,R092,2025-07-17T08:23:00,2025-07-17T12:29:00,70,Completed,17.1,W20250717
T00197,V0427,D0455,R072,2025-05-05T07:09:00,2025-05-05T11:20:00,75,Completed,17.9,W20250505
T00198,V0379,D0478,R010,2025-09-02T07:19:00,2025-09-02T10:34:00,75,Completed,23.1,W20250902
T00199,V0136,D0071,R050,2025-06-09T11:04:00,2025-06-09T14:00:00,95,Cancelled,32.4,W20250609
T00200,V0114,D0619,R089,2025-01-08T22:00:00,2025-01-09T00:51:00,85,Cancelled,29.8,W20250108
T00201,V0186,D0031,R054,2025-01-16T22:01:00,2025-01-17T00:52:00,95,Completed,33.3,W20250116
T00202,V0209,D0638,R033,2025-03-31T17:49:00,2025-03-31T21:45:00,85,Cancelled,21.6,W20250331
T00203,V0433,D0043,R067,2025-11-09T13:50:00,2025-11-09T16:01:00,55,Completed,25.2,W20251109
T00204,V0308,D0402,R051,2025-05-22T02:10:00,2025-05-22T05:18:00,70,Cancelled,22.3,W20250522
T00205,V0224,D0182,R045,2025-03-31T10:17:00,2025-03-31T11:35:00,70,Completed,53.8,W20250331
T00206,V0393,D0419,R068,2025-09-10T17:36:00,2025-09-10T20:43:00,95,Completed,30.5,W20250910
T00207,V0339,D0198,R082,2025-06-12T05:14:00,2025-06-12T10:10:00,75,Cancelled,15.2,W20250612
T00208,V0398,D0201,R075,2025-07-22T02:57:00,2025-07-22T05:06:00,85,Cancelled,39.5,W20250722
T00209,V0107,D0067,R011,2025-11-05T06:30:00,2025-11-05T10:29:00,85,Cancelled,21.3,W20251105
T00210,V0153,D0551,R063,2025-01-21T07:14:00,2025-01-21T09:48:00,75,Cancelled,29.2,W20250121
T00211,V0145,D0034,R037,2025-04-04T11:09:00,2025-04-04T14:50:00,95,Cancelled,25.8,W20250404
T00212,V0354,D0191,R017,2025-08-04T02:33:00,2025-08-04T05:10:00,95,Completed,36.3,W20250804
T00213,V0395,D0540,R023,2025-04-12T15:07:00,2025-04-12T18:50:00,95,Completed,25.6,W20250412
T00214,V0472,D0699,R096,2025-04-28T13:35:00,2025-04-28T16:24:00,95,Completed,33.7,W20250428
T00215,V0160,D0578,R034,2025-09-29T22:31:00,2025-09-30T02:11:00,70,Completed,19.1,W20250929
T00216,V0084,D0047,R029,2025-07-26T13:41:00,2025-07-26T16:55:00,70,Completed,21.6,W20250726
T00217,V0145,D0009,R063,2025-07-13T11:23:00,2025-07-13T15:25:00,75,Completed,18.6,W20250713
T00218,V0326,D0415,R024,2025-02-24T05:04:00,2025-02-24T07:01:00,55,Completed,28.2,W20250224
T00219,V0024,D0149,R054,2025-07-22T21:49:00,2025-07-23T01:56:00,95,Completed,23.1,W20250722
T00220,V0268,D0364,R085,2025-12-20T02:12:00,2025-12-20T07:03:00,55,Cancelled,11.3,W20251220
T00221,V0497,D0387,R068,2025-05-13T04:27:00,2025-05-13T05:13:00,95,Completed,123.9,W20250513
T00222,V0269,D0130,R065,2025-01-07T01:50:00,2025-01-07T03:33:00,70,Cancelled,40.8,W20250107
T00223,V0392,D0247,R050,2025-08-16T13:15:00,2025-08-16T15:41:00,95,Cancelled,39.0,W20250816
T00224,V0290,D0009,R001,2025-10-09T11:49:00,2025-10-09T16:02:00,85,Completed,20.2,W20251009
T00225,V0119,D0473,R022,2025-04-27T19:14:00,2025-04-27T20:07:00,70,Cancelled,79.2,W20250427
T00226,V0232,D0397,R035,2025-03-06T08:57:00,2025-03-06T11:30:00,95,Completed,37.3,W20250306
T00227,V0435,D0298,R060,2025-02-23T21:13:00,2025-02-24T00:11:00,85,Cancelled,28.7,W20250223
T00228,V0178,D0660,R007,2025-09-04T18:38:00,2025-09-04T22:37:00,70,Completed,17.6,W20250904
T00229,V0362,D0455,R023,2025-04-25T15:11:00,2025-04-25T16:27:00,95,Completed,75.0,W20250425
T00230,V0428,D0197,R010,2025-06-11T20:50:00,2025-06-11T23:09:00,75,Completed,32.4,W20250611
T00231,V0354,D0062,R026,2025-12-03T01:52:00,2025-12-03T06:49:00,70,Completed,14.1,W20251203
T00232,V0081,D0148,R077,2025-02-01T04:25:00,2025-02-01T07:50:00,85,Completed,24.9,W20250201
T00233,V0254,D0321,R015,2025-04-08T13:45:00,2025-04-08T16:14:00,75,Cancelled,30.2,W20250408
T00234,V0184,D0511,R028,2025-04-22T04:26:00,2025-04-22T06:35:00,85,Completed,39.5,W20250422
T00235,V0500,D0101,R054,2025-03-10T03:15:00,2025-03-10T07:25:00,95,Completed,22.8,W20250310
T00236,V0068,D0665,R080,2025-07-30T22:35:00,2025-07-31T01:48:00,75,Completed,23.3,W20250730
T00237,V0027,D0234,R034,2025-12-18T14:34:00,2025-12-18T18:00:00,70,Cancelled,20.4,W20251218
T00238,V0023,D0168,R062,2025-02-21T15:06:00,2025-02-21T18:00:00,70,Cancelled,24.1,W20250221
T00239,V0230,D0046,R020,2025-12-26T12:19:00,2025-12-26T16:26:00,65,Completed,15.8,W20251226
T00240,V0028,D0104,R069,2025-05-22T01:22:00,2025-05-22T03:49:00,70,Completed,28.6,W20250522
T00241,V0084,D0080,R061,2025-11-26T00:17:00,2025-11-26T04:24:00,75,Completed,18.2,W20251126
T00242,V0101,D0380,R099,2025-09-03T18:54:00,2025-09-03T20:29:00,55,Completed,34.7,W20250903
T00243,V0477,D0018,R033,2025-06-24T22:45:00,2025-06-24T23:58:00,85,Completed,69.9,W20250624
T00244,V0131,D0378,R030,2025-08-04T20:54:00,2025-08-05T00:46:00,65,Completed,16.8,W20250804
T00245,V0450,D0109,R078,2025-03-20T21:04:00,2025-03-21T00:03:00,75,Cancelled,25.1,W20250320
