vehicle_id,registration_number,vin,manufacturer,model,variant,manufacturing_year,purchase_date,vehicle_class,fuel_type,engine_type,engine_capacity_cc,transmission,drivetrain,color,seating_capacity,gross_vehicle_weight_kg,payload_capacity_kg,fuel_tank_capacity_l,warranty_expiry,insurance_policy_id,current_odometer_km,assigned_depot,status,last_service_date
V0013,KL-05-CI-2338,VIN22457187164817,Toyota,Hilux,2.8 GD,2025,4/8/2025,Pickup,Diesel,Inline-4,2800,Manual,RWD,White,5,1536,324,63,4/7/2030,POL335483,131340,Kozhikode,Active,11/21/2027
V0014,KL-12-RK-3931,VIN37904368201972,Ashok Leyland,Boss,1415,2025,2/16/2025,Truck,Diesel,Inline-4,3800,Manual,RWD,Blue,2,13836,6433,160,2/15/2030,POL761539,14485,Kozhikode,Active,9/9/2025
V0015,KL-11-YD-1503,VIN66122030549431,Tata,Nexon,XZ+,2019,12/20/2019,SUV,Diesel,Inline-4,1500,Manual,RWD,Blue,5,2194,593,46,12/18/2024,POL749649,141543,Kochi,Active,8/10/2022
V0016,KL-11-PC-4319,VIN38565066861715,Toyota,Corolla,1.8 G,2019,4/5/2019,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Black,5,1225,467,54,4/3/2024,POL576179,79956,Trivandrum,Active,8/9/2019
V0017,KL-02-UP-1597,VIN53519331317558,Mahindra,Scorpio N,Z8,2025,8/3/2025,SUV,Diesel,Inline-4,2200,Automatic,RWD,Red,5,1466,586,62,8/2/2030,POL117251,90138,Trivandrum,Active,1/4/2027
V0018,KL-13-XZ-6469,VIN95536225749480,Tata,Nexon,XZ+,2025,5/2/2025,SUV,Diesel,Inline-4,1500,Manual,RWD,White,5,1233,696,65,5/1/2030,POL266015,75234,Trivandrum,Maintenance,5/27/2028
V0019,KL-03-HL-8002,VIN82505988607680,Toyota,Corolla,1.8 G,2023,5/26/2023,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Red,5,1276,580,58,5/24/2028,POL133085,137240,Palakkad,Active,10/8/2025
V0020,KL-11-XY-4314,VIN73177822720075,Tata,Nexon,XZ+,2025,4/13/2025,SUV,Diesel,Inline-4,1500,Manual,RWD,White,5,1671,340,60,4/12/2030,POL977840,16072,Kochi,Active,2/8/2028
V0021,KL-01-MG-8036,VIN96551593808341,Eicher,Pro 2049,LNT,2021,6/23/2021,Truck,Diesel,Inline-4,3000,Manual,RWD,Grey,2,9532,6471,219,6/22/2026,POL394246,154211,Palakkad,Active,6/2/2025
V0022,KL-02-HA-2189,VIN83405459406565,Toyota,Hilux,2.8 GD,2020,11/19/2020,Pickup,Diesel,Inline-4,2800,Manual,RWD,Grey,5,1943,563,43,11/18/2025,POL736993,13659,Trivandrum,Active,1/31/2024
V0023,KL-06-YJ-9929,VIN46521136357756,Tata,Nexon,XZ+,2019,8/10/2019,SUV,Diesel,Inline-4,1500,Manual,RWD,Grey,5,1881,359,44,8/8/2024,POL637874,88516,Trivandrum,Active,8/29/2022
V0024,KL-07-MH-6582,VIN77512020041615,Eicher,Pro 2049,LNT,2020,5/27/2020,Truck,Diesel,Inline-4,3000,Manual,RWD,White,2,13483,7058,244,5/26/2025,POL528596,132917,Trivandrum,Active,7/20/2021
V0025,KL-08-AU-5625,VIN73450655134958,Mahindra,Scorpio N,Z8,2024,5/3/2024,SUV,Diesel,Inline-4,2200,Automatic,RWD,Red,5,1279,437,57,5/2/2029,POL313371,94272,Thrissur,Active,9/26/2026
V0026,KL-04-YJ-7910,VIN47417431934418,Ashok Leyland,Boss,1415,2023,11/14/2023,Truck,Diesel,Inline-4,3800,Manual,RWD,White,2,15733,5912,233,11/12/2028,POL400259,93501,Thrissur,Maintenance,5/5/2026
V0027,KL-06-XI-9137,VIN75995079770457,Ashok Leyland,Boss,1415,2020,10/6/2020,Truck,Diesel,Inline-4,3800,Manual,RWD,Silver,2,10422,7492,123,10/5/2025,POL550598,106890,Kochi,Active,5/17/2022
V0028,KL-14-DW-4911,VIN87610484949552,Tata,Nexon,XZ+,2020,6/14/2020,SUV,Diesel,Inline-4,1500,Manual,RWD,Red,5,1773,301,58,6/13/2025,POL346811,118324,Kochi,Active,11/16/2020
V0029,KL-04-KP-4337,VIN42183960788243,Eicher,Pro 2049,LNT,2024,4/28/2024,Truck,Diesel,Inline-4,3000,Manual,RWD,White,2,7380,3181,120,4/27/2029,POL148707,135477,Kozhikode,Active,12/20/2024
V0030,KL-07-DI-2895,VIN39099069161186,Eicher,Pro 2049,LNT,2019,7/3/2019,Truck,Diesel,Inline-4,3000,Manual,RWD,Silver,2,12149,6176,231,7/1/2024,POL447974,88085,Kozhikode,Maintenance,11/28/2022
V0031,KL-05-BE-1143,VIN35663367996231,Tata,Nexon,XZ+,2021,6/17/2021,SUV,Diesel,Inline-4,1500,Manual,RWD,White,5,1729,613,57,6/16/2026,POL128008,129809,Thrissur,Active,6/23/2022
V0032,KL-05-HR-7016,VIN20019801287349,Ashok Leyland,Boss,1415,2024,5/13/2024,Truck,Diesel,Inline-4,3800,Manual,RWD,Grey,2,8406,6117,250,5/12/2029,POL595608,83124,Kochi,Active,1/5/2028
V0033,KL-05-AN-4365,VIN82360404135866,Ashok Leyland,Boss,1415,2022,2/23/2022,Truck,Diesel,Inline-4,3800,Manual,RWD,Blue,2,14609,6828,211,2/22/2027,POL804517,98254,Kochi,Active,3/15/2023
V0034,KL-05-TY-5082,VIN72734026970853,Eicher,Pro 2049,LNT,2021,7/15/2021,Truck,Diesel,Inline-4,3000,Manual,RWD,Grey,2,15284,5108,152,7/14/2026,POL764824,49245,Kochi,Active,4/23/2025
V0035,KL-07-ZU-2486,VIN37958058535552,Toyota,Hilux,2.8 GD,2022,12/27/2022,Pickup,Diesel,Inline-4,2800,Manual,RWD,White,5,1696,432,60,12/26/2027,POL701230,130146,Kozhikode,Active,3/29/2025
V0036,KL-04-PM-5748,VIN95822228718786,Toyota,Hilux,2.8 GD,2024,5/27/2024,Pickup,Diesel,Inline-4,2800,Manual,RWD,Red,5,2160,572,64,5/26/2029,POL515881,58144,Trivandrum,Active,2/18/2027
V0037,KL-10-AD-3405,VIN73828148353840,Toyota,Corolla,1.8 G,2025,12/21/2025,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Silver,5,1542,358,58,12/20/2030,POL392423,5869,Thrissur,Maintenance,7/6/2028
V0038,KL-11-ZE-9993,VIN43298914299056,Ashok Leyland,Boss,1415,2020,5/12/2020,Truck,Diesel,Inline-4,3800,Manual,RWD,White,2,10995,6818,231,5/11/2025,POL726159,21285,Kozhikode,Active,5/19/2023
V0039,KL-01-NJ-6115,VIN43566006536419,Eicher,Pro 2049,LNT,2020,10/8/2020,Truck,Diesel,Inline-4,3000,Manual,RWD,Silver,2,10373,4910,171,10/7/2025,POL906128,160181,Kochi,Maintenance,12/16/2023
V0040,KL-10-JR-5797,VIN27028203942704,Toyota,Corolla,1.8 G,2023,11/24/2023,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Black,5,1892,370,47,11/22/2028,POL344778,128747,Kozhikode,Active,6/16/2027
V0041,KL-06-KR-1082,VIN87107470606551,Tata,Nexon,XZ+,2022,8/10/2022,SUV,Diesel,Inline-4,1500,Manual,RWD,Silver,5,1482,451,49,8/9/2027,POL806258,69482,Palakkad,Active,12/9/2022
V0042,KL-10-DJ-2377,VIN91690103010872,Ashok Leyland,Boss,1415,2021,12/16/2021,Truck,Diesel,Inline-4,3800,Manual,RWD,White,2,8062,7101,125,12/15/2026,POL238953,111047,Kozhikode,Active,10/15/2024
V0043,KL-10-YZ-6557,VIN22212396532328,Tata,Nexon,XZ+,2019,9/23/2019,SUV,Diesel,Inline-4,1500,Manual,RWD,Silver,5,2118,450,54,9/21/2024,POL517935,141088,Thrissur,Active,6/1/2023
V0044,KL-14-OE-2080,VIN71347437051992,Toyota,Hilux,2.8 GD,2025,1/11/2025,Pickup,Diesel,Inline-4,2800,Manual,RWD,Silver,5,1280,612,59,1/10/2030,POL186840,153562,Kozhikode,Maintenance,5/16/2025
V0045,KL-09-PR-2143,VIN84204543185735,Toyota,Hilux,2.8 GD,2023,9/22/2023,Pickup,Diesel,Inline-4,2800,Manual,RWD,Silver,5,1301,402,44,9/20/2028,POL741665,131309,Trivandrum,Maintenance,5/26/2027
V0046,KL-03-YX-2083,VIN10843760164484,Mahindra,Scorpio N,Z8,2019,6/8/2019,SUV,Diesel,Inline-4,2200,Automatic,RWD,Red,5,1681,451,65,6/6/2024,POL508440,163089,Kochi,Active,6/17/2022
V0047,KL-01-MP-2870,VIN22199573372895,Mahindra,Scorpio N,Z8,2023,9/19/2023,SUV,Diesel,Inline-4,2200,Automatic,RWD,Red,5,1335,515,45,9/17/2028,POL107998,162610,Kozhikode,Maintenance,12/4/2026
V0048,KL-06-NT-5348,VIN71410217746495,Tata,Nexon,XZ+,2023,4/3/2023,SUV,Diesel,Inline-4,1500,Manual,RWD,Silver,5,2057,309,41,4/1/2028,POL590386,5527,Trivandrum,Active,8/14/2024
V0049,KL-01-ZQ-6057,VIN32941187042675,Mahindra,Scorpio N,Z8,2023,8/9/2023,SUV,Diesel,Inline-4,2200,Automatic,RWD,Silver,5,1567,386,42,8/7/2028,POL452100,28490,Trivandrum,Active,4/22/2026
V0050,KL-02-YI-1871,VIN15543674454867,Ashok Leyland,Boss,1415,2022,10/24/2022,Truck,Diesel,Inline-4,3800,Manual,RWD,Black,2,9367,5973,132,10/23/2027,POL677775,146116,Palakkad,Active,5/28/2023
V0051,KL-03-MF-9457,VIN44002153739282,Toyota,Hilux,2.8 GD,2023,5/10/2023,Pickup,Diesel,Inline-4,2800,Manual,RWD,Black,5,2132,699,45,5/8/2028,POL581222,13893,Trivandrum,Maintenance,12/13/2023
V0052,KL-08-EV-6766,VIN34163021495187,Ashok Leyland,Boss,1415,2024,5/11/2024,Truck,Diesel,Inline-4,3800,Manual,RWD,Red,2,13228,6595,126,5/10/2029,POL239043,81739,Palakkad,Active,6/2/2026
V0053,KL-02-HS-1652,VIN13296907132119,Eicher,Pro 2049,LNT,2021,3/5/2021,Truck,Diesel,Inline-4,3000,Manual,RWD,Red,2,15620,6304,133,3/4/2026,POL682999,60127,Kozhikode,Active,9/19/2024
V0054,KL-13-LY-7209,VIN77765419915934,Mahindra,Scorpio N,Z8,2021,1/26/2021,SUV,Diesel,Inline-4,2200,Automatic,RWD,Black,5,1510,397,69,1/25/2026,POL947569,88419,Kochi,Active,12/22/2021
V0055,KL-01-IU-1308,VIN48451290262087,Eicher,Pro 2049,LNT,2021,6/20/2021,Truck,Diesel,Inline-4,3000,Manual,RWD,Black,2,8068,3164,248,6/19/2026,POL633537,105165,Trivandrum,Active,6/2/2024
V0056,KL-14-RI-6436,VIN27656755046957,Toyota,Corolla,1.8 G,2024,8/28/2024,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Black,5,1793,547,53,8/27/2029,POL205644,107962,Kochi,Active,8/12/2027
V0057,KL-04-RA-3095,VIN89042652549782,Toyota,Hilux,2.8 GD,2025,8/14/2025,Pickup,Diesel,Inline-4,2800,Manual,RWD,Silver,5,1369,606,65,8/13/2030,POL554093,14415,Palakkad,Maintenance,1/29/2026
V0058,KL-13-HO-2591,VIN17983594621725,Toyota,Corolla,1.8 G,2025,5/14/2025,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Silver,5,2128,478,63,5/13/2030,POL483778,120288,Thrissur,Active,6/19/2027
V0059,KL-05-FJ-4711,VIN11695489890707,Toyota,Corolla,1.8 G,2021,8/7/2021,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Grey,5,1842,464,63,8/6/2026,POL542872,170659,Thrissur,Active,3/14/2023
V0060,KL-14-YR-1767,VIN74746731459398,Mahindra,Scorpio N,Z8,2024,11/27/2024,SUV,Diesel,Inline-4,2200,Automatic,RWD,Red,5,1615,467,60,11/26/2029,POL414122,111898,Kozhikode,Active,4/20/2028
V0061,KL-03-TT-9508,VIN76273147467755,Toyota,Corolla,1.8 G,2021,4/18/2021,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Red,5,1557,423,41,4/17/2026,POL333773,44599,Trivandrum,Maintenance,1/22/2023
V0062,KL-01-BB-5062,VIN60967805303614,Toyota,Corolla,1.8 G,2022,1/11/2022,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Red,5,1411,363,63,1/10/2027,POL101503,29090,Kochi,Active,12/18/2025
V0063,KL-05-ZS-1449,VIN49222921620693,Ashok Leyland,Boss,1415,2023,5/20/2023,Truck,Diesel,Inline-4,3800,Manual,RWD,White,2,10746,6815,162,5/18/2028,POL805348,163650,Palakkad,Maintenance,10/23/2025
V0064,KL-01-BI-3317,VIN74785749009535,Toyota,Corolla,1.8 G,2021,1/9/2021,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Red,5,1334,379,52,1/8/2026,POL645590,104080,Palakkad,Active,10/31/2023
V0065,KL-06-FY-2471,VIN77191184891044,Ashok Leyland,Boss,1415,2021,3/21/2021,Truck,Diesel,Inline-4,3800,Manual,RWD,Red,2,12384,3123,157,3/20/2026,POL256136,32427,Palakkad,Active,11/3/2021
V0066,KL-03-OS-6522,VIN94880979444219,Ashok Leyland,Boss,1415,2022,7/10/2022,Truck,Diesel,Inline-4,3800,Manual,RWD,Blue,2,14237,3682,216,7/9/2027,POL694884,164298,Thrissur,Active,10/8/2024
V0067,KL-14-HJ-8432,VIN18424582628668,Toyota,Hilux,2.8 GD,2023,4/13/2023,Pickup,Diesel,Inline-4,2800,Manual,RWD,Red,5,2024,346,64,4/11/2028,POL167553,154437,Palakkad,Active,10/18/2023
V0068,KL-09-LK-6488,VIN10161666696297,Mahindra,Scorpio N,Z8,2020,12/24/2020,SUV,Diesel,Inline-4,2200,Automatic,RWD,Black,5,1313,356,59,12/23/2025,POL599839,43631,Kochi,Maintenance,11/10/2023
V0069,KL-13-JL-6953,VIN63384621411887,Tata,Nexon,XZ+,2019,12/10/2019,SUV,Diesel,Inline-4,1500,Manual,RWD,Red,5,2177,534,64,12/8/2024,POL733477,133957,Thrissur,Active,10/2/2022
V0070,KL-05-UY-3826,VIN31433211618866,Tata,Nexon,XZ+,2020,3/4/2020,SUV,Diesel,Inline-4,1500,Manual,RWD,Grey,5,1702,386,44,3/3/2025,POL732371,37576,Kozhikode,Maintenance,6/26/2020
V0071,KL-07-EZ-8897,VIN54793543695113,Toyota,Hilux,2.8 GD,2024,4/4/2024,Pickup,Diesel,Inline-4,2800,Manual,RWD,White,5,1582,549,57,4/3/2029,POL248781,9138,Trivandrum,Active,12/16/2026
V0072,KL-11-GE-6491,VIN11748218154933,Toyota,Corolla,1.8 G,2022,3/19/2022,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Blue,5,1968,398,61,3/18/2027,POL938646,12738,Palakkad,Maintenance,1/26/2023
V0073,KL-12-DZ-8916,VIN70159420792599,Toyota,Corolla,1.8 G,2024,11/8/2024,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Silver,5,2167,640,40,11/7/2029,POL365391,19540,Palakkad,Maintenance,8/7/2028
V0074,KL-06-MS-1268,VIN55197267091515,Toyota,Corolla,1.8 G,2019,6/10/2019,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Blue,5,1765,362,45,6/8/2024,POL309951,48723,Kochi,Active,6/26/2023
V0075,KL-12-FE-7551,VIN66548106280793,Tata,Nexon,XZ+,2023,3/27/2023,SUV,Diesel,Inline-4,1500,Manual,RWD,Black,5,1677,661,67,3/25/2028,POL469963,88562,Kozhikode,Active,3/17/2027
V0076,KL-10-LK-1591,VIN94033610940392,Mahindra,Scorpio N,Z8,2025,1/3/2025,SUV,Diesel,Inline-4,2200,Automatic,RWD,Red,5,1454,398,43,1/2/2030,POL107121,65576,Kochi,Active,6/2/2027
V0077,KL-06-CA-4841,VIN64069047908066,Mahindra,Scorpio N,Z8,2024,4/9/2024,SUV,Diesel,Inline-4,2200,Automatic,RWD,Black,5,1813,434,66,4/8/2029,POL459260,138462,Kozhikode,Maintenance,3/15/2026
V0078,KL-10-KH-9352,VIN98358769649057,Eicher,Pro 2049,LNT,2022,8/5/2022,Truck,Diesel,Inline-4,3000,Manual,RWD,Blue,2,10632,6717,136,8/4/2027,POL811618,91550,Kozhikode,Active,5/2/2025
V0079,KL-12-ET-2090,VIN62902596111090,Eicher,Pro 2049,LNT,2020,5/26/2020,Truck,Diesel,Inline-4,3000,Manual,RWD,White,2,15447,4036,192,5/25/2025,POL647145,72847,Kochi,Active,5/28/2023
V0080,KL-13-FZ-2142,VIN94203210000768,Toyota,Hilux,2.8 GD,2022,9/18/2022,Pickup,Diesel,Inline-4,2800,Manual,RWD,Silver,5,1483,492,58,9/17/2027,POL173963,121697,Kozhikode,Active,9/27/2023
V0081,KL-01-IR-3405,VIN65799626576207,Toyota,Hilux,2.8 GD,2025,2/18/2025,Pickup,Diesel,Inline-4,2800,Manual,RWD,Black,5,1999,324,54,2/17/2030,POL621915,66601,Kochi,Maintenance,4/9/2026
V0082,KL-06-XX-5767,VIN68336934051419,Ashok Leyland,Boss,1415,2020,3/12/2020,Truck,Diesel,Inline-4,3800,Manual,RWD,White,2,8905,5972,183,3/11/2025,POL462786,165147,Thrissur,Active,7/28/2022
V0083,KL-13-DJ-3776,VIN50381762103948,Tata,Nexon,XZ+,2021,1/17/2021,SUV,Diesel,Inline-4,1500,Manual,RWD,White,5,2095,362,67,1/16/2026,POL860426,10109,Kozhikode,Active,1/26/2025
V0084,KL-08-IR-6256,VIN60096032258718,Ashok Leyland,Boss,1415,2021,5/22/2021,Truck,Diesel,Inline-4,3800,Manual,RWD,Red,2,9101,7927,195,5/21/2026,POL342422,175459,Palakkad,Active,1/21/2025
V0085,KL-03-WJ-5932,VIN34835957198949,Ashok Leyland,Boss,1415,2020,8/24/2020,Truck,Diesel,Inline-4,3800,Manual,RWD,Silver,2,11181,4237,177,8/23/2025,POL699551,13267,Kozhikode,Active,1/9/2022
V0086,KL-05-GI-4213,VIN83193681533425,Ashok Leyland,Boss,1415,2021,1/5/2021,Truck,Diesel,Inline-4,3800,Manual,RWD,Red,2,7851,4742,227,1/4/2026,POL196934,130219,Kochi,Maintenance,5/9/2023
V0087,KL-02-CT-9733,VIN14214983829544,Ashok Leyland,Boss,1415,2024,12/18/2024,Truck,Diesel,Inline-4,3800,Manual,RWD,Red,2,14708,6643,160,12/17/2029,POL964939,173584,Kochi,Active,10/6/2025
V0088,KL-13-AI-5947,VIN49112610052702,Toyota,Hilux,2.8 GD,2021,11/24/2021,Pickup,Diesel,Inline-4,2800,Manual,RWD,White,5,2031,336,69,11/23/2026,POL666838,162077,Thrissur,Active,5/30/2023
V0089,KL-13-QI-6455,VIN31310688583514,Tata,Nexon,XZ+,2020,1/9/2020,SUV,Diesel,Inline-4,1500,Manual,RWD,Black,5,2067,318,43,1/7/2025,POL989317,146731,Kozhikode,Active,6/28/2023
V0090,KL-09-TC-8101,VIN59966638705767,Tata,Nexon,XZ+,2022,6/23/2022,SUV,Diesel,Inline-4,1500,Manual,RWD,Red,5,1976,402,53,6/22/2027,POL714620,179756,Palakkad,Maintenance,7/22/2026
V0091,KL-05-BN-9178,VIN22996503879947,Tata,Nexon,XZ+,2024,9/12/2024,SUV,Diesel,Inline-4,1500,Manual,RWD,Black,5,1612,613,46,9/11/2029,POL564965,55789,Kozhikode,Maintenance,3/8/2027
V0092,KL-11-NL-3267,VIN88229157186794,Toyota,Corolla,1.8 G,2021,3/11/2021,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Silver,5,1383,494,57,3/10/2026,POL442119,23120,Palakkad,Active,7/27/2021
V0093,KL-03-ZY-1912,VIN64366414010003,Toyota,Corolla,1.8 G,2022,3/4/2022,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Black,5,1865,604,54,3/3/2027,POL657511,37409,Palakkad,Active,6/18/2025
V0094,KL-01-BD-1682,VIN87661668740007,Ashok Leyland,Boss,1415,2020,5/22/2020,Truck,Diesel,Inline-4,3800,Manual,RWD,White,2,13386,3334,154,5/21/2025,POL996262,21796,Palakkad,Maintenance,5/16/2024
V0095,KL-05-OA-8257,VIN62779179296077,Ashok Leyland,Boss,1415,2023,11/27/2023,Truck,Diesel,Inline-4,3800,Manual,RWD,Black,2,10514,6966,172,11/25/2028,POL205684,33422,Thrissur,Active,5/30/2026
V0096,KL-08-JN-1720,VIN72235187176707,Ashok Leyland,Boss,1415,2019,1/28/2019,Truck,Diesel,Inline-4,3800,Manual,RWD,Silver,2,10046,6742,131,1/27/2024,POL622667,67679,Trivandrum,Active,10/1/2022
V0097,KL-03-QK-5079,VIN43147805087460,Eicher,Pro 2049,LNT,2020,6/24/2020,Truck,Diesel,Inline-4,3000,Manual,RWD,Black,2,14577,4083,223,6/23/2025,POL684718,41345,Kozhikode,Active,7/12/2024
V0098,KL-02-EN-1189,VIN35370722153032,Ashok Leyland,Boss,1415,2025,10/2/2025,Truck,Diesel,Inline-4,3800,Manual,RWD,Black,2,11527,5609,235,10/1/2030,POL743731,125216,Palakkad,Active,11/23/2028
V0099,KL-06-RU-9269,VIN91061859912497,Ashok Leyland,Boss,1415,2019,8/10/2019,Truck,Diesel,Inline-4,3800,Manual,RWD,Grey,2,14932,6441,163,8/8/2024,POL654382,111319,Palakkad,Maintenance,4/8/2021
V0100,KL-01-MY-2227,VIN48336625294233,Toyota,Hilux,2.8 GD,2021,8/11/2021,Pickup,Diesel,Inline-4,2800,Manual,RWD,Red,5,1572,624,46,8/10/2026,POL652128,150793,Kochi,Maintenance,9/19/2023
V0101,KL-05-FV-1020,VIN16609985529917,Mahindra,Scorpio N,Z8,2020,3/12/2020,SUV,Diesel,Inline-4,2200,Automatic,RWD,Blue,5,1607,369,51,3/11/2025,POL622953,8734,Thrissur,Active,2/4/2022
V0102,KL-12-LT-6632,VIN52116768792596,Toyota,Corolla,1.8 G,2021,1/12/2021,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Grey,5,2078,696,65,1/11/2026,POL724569,60305,Palakkad,Active,4/27/2024
V0103,KL-08-RU-9557,VIN30975574290431,Tata,Nexon,XZ+,2022,6/6/2022,SUV,Diesel,Inline-4,1500,Manual,RWD,Red,5,1830,675,60,6/5/2027,POL729287,115830,Kozhikode,Active,6/26/2025
V0104,KL-13-BZ-3034,VIN93940298724507,Eicher,Pro 2049,LNT,2020,2/20/2020,Truck,Diesel,Inline-4,3000,Manual,RWD,Black,2,8443,7969,233,2/18/2025,POL448352,149637,Kochi,Active,5/26/2022
V0105,KL-11-HX-5834,VIN26159665466907,Toyota,Hilux,2.8 GD,2019,7/13/2019,Pickup,Diesel,Inline-4,2800,Manual,RWD,Blue,5,1485,302,50,7/11/2024,POL495143,10367,Kozhikode,Active,5/24/2020
V0106,KL-11-LG-8773,VIN62020946322352,Mahindra,Scorpio N,Z8,2025,6/8/2025,SUV,Diesel,Inline-4,2200,Automatic,RWD,Blue,5,2017,657,65,6/7/2030,POL425775,87537,Kochi,Active,9/16/2027
V0107,KL-12-ZK-4698,VIN68766355684794,Toyota,Hilux,2.8 GD,2024,10/28/2024,Pickup,Diesel,Inline-4,2800,Manual,RWD,Black,5,1303,515,51,10/27/2029,POL304036,45887,Palakkad,Active,7/13/2027
V0108,KL-12-ZM-7755,VIN54595684734148,Toyota,Hilux,2.8 GD,2024,9/19/2024,Pickup,Diesel,Inline-4,2800,Manual,RWD,Black,5,1776,308,63,9/18/2029,POL230971,6559,Palakkad,Active,8/5/2025
V0109,KL-14-QI-2843,VIN68301203058291,Toyota,Corolla,1.8 G,2023,12/3/2023,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Grey,5,2113,375,51,12/1/2028,POL840612,20430,Palakkad,Active,8/26/2024
V0110,KL-12-VB-7752,VIN45535074357715,Mahindra,Scorpio N,Z8,2019,5/28/2019,SUV,Diesel,Inline-4,2200,Automatic,RWD,Blue,5,1486,329,56,5/26/2024,POL129395,93285,Thrissur,Active,1/8/2020
V0111,KL-09-EQ-2159,VIN24275835082417,Ashok Leyland,Boss,1415,2019,3/21/2019,Truck,Diesel,Inline-4,3800,Manual,RWD,Grey,2,13568,5966,239,3/19/2024,POL266362,122133,Thrissur,Active,5/11/2022
V0112,KL-10-XY-2103,VIN41092119667521,Mahindra,Scorpio N,Z8,2024,8/16/2024,SUV,Diesel,Inline-4,2200,Automatic,RWD,Blue,5,1612,447,61,8/15/2029,POL920382,153208,Thrissur,Active,5/19/2025
